ProviderID,Provider Name,Email,Postal address,Centre address,Telephone no,House Number,StreetName,Suburb,Postal Code,Website,ContactName,ContactSurname,ID
1010,Northlink Belhar,,"Proton Street, Belhar, 7493","Proton Street, Belhar, 7493",219526694,Rough Work,Proton Street,Belhar,7493,,,,13
1012,Northlink College - Belville Campus,mdewaal@northlink.co.za,,,215242252,,1 De Tijger,Parow,7500,,,,14
1013,Northlink College - Wingfield Campus (GOODWOOD) (DTTC),,"Vanguard Drive, Wingfield Navy Base, Goodwood, 7460","Vanguard Drive, Wingfield Navy Base, Goodwood, 7460",,Rough Work,Vanguard Drive,Wingfield Navy Base,7460,,,,15
1014,Northlink FET College,akoeleman@northlink.co.za,Private Bag X1 Panorama 7506,Rothschille Boulevard Panorama 7500,(021) 524 2200,,Rothschild Boulevard,Panorama,7506,,Annemarie,Koeleman,16
1015,Northlink FET College,cbam@northlink.co.za, Private Bag X1 Panorama 7506, Proton Road Belhar7493,(021) 952 2113/9,,Proton Street,Belhar,7493,,Casper,Bam,17
1016,Northlink FET College,jkotsi@northlink.co.za,Private Bag X1 Panorama 7506,Connaught Road Parow Valley 7503,(021) 931 8238,,"Connaught Road,",PAROW VALLEY,7503,,Jacob,Kotsi,18
1017,Northlink FET College,krandall@northlink.co.za,Private Bag X1 Panorama 7506,Sackson Street Bellville South 7530,021) 951 2231,,Sackson Street,Bellville South,7530,,Kirk,Randall,19
1018,Northlink FET College,nkearns@northlink.co.za,Private Bag X1 Panorama 7506,80 Voortrekker Road Bellville,(021) 946 2250,,80 Voortrekker Rd,BELLVILLE,7530,,Nolan,Kearns,20
1020,Northlink FET College,plawrence@northlink.co.za,Private Bag X1 Panorama 7560,80 Voortrekker Road Bellville South 7530,(021) 952-2113;,Rough Work,80 Voortrekker Road Bellville South 7530,,7530,,,,21
1021,Northlink FET College,plouw@northlink.co.za,Private Bag X1 Panorama 7506,Parrow Campus Connaught Road Parow,021-931 8238,Rough Work,Parrow Campus Connaught Road Parow,,,,,,22
1022,Northlink FET College,sschmidt@northlink.co.za,Private Bag X1 Panorama 7506,Vanguard Drive Goodwood 7460,(021) 591 9207,,Vanguard Drive,Goodwood,7460,,Sandra,Schmidt,23
1023,Northlink FET College: Belhar Campus (Pending NATC Approval),,"1 Proton Road, Cape Town","1 Proton Road, Cape Town",27824202528,Rough Work,1 Proton Road,Cape Town,,,,,24
1024,Northlink FET College: Belville Campus (Pending NATC Approval),,"1 Sackson Street, Belville South, 7530","1 Sackson Street, Belville South, 7530",27824479200,Rough Work,1 Sackson Street,Belville South,7530,,,,25
1025,Northlink FET College::Wingfield Campus (Pending NATC Approval),,"Vanguard Drive, Wingfield Navy Base, Goodwood, 7460","Vanguard Drive, Wingfield Navy Base, Goodwood, 7460",27837083203,Rough Work,Vanguard Drive,Wingfield Navy Base,7460,,,,26
1026,NORTHLINK TVET COLLEGE,,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,767348319,Rough Work,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,,7460,,,,27
1027,NOVICE H E T SERVICES ,DOCUMENTS@SWIFTREG.CO.ZA,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,,Rough Work,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,,7100,,,,28
1028,NQTAC - Cape (Pty)Ltd,astrid@nqtac.co.za,,,842459587,33 York House,33 York Street,George,6530,,,,29
1029,NQTAC - Cape (Pty)Ltd,astrid@nqtac.co.za,,,842459587,8 Shamrock Place,95 York Street,George,,,,,30
103, BARRYS PIPING & WELDING SERVICES (Epping),barryspiping@telkomsa.net,"No 7, Velma Road, RETREAT, 7945","Unit 27 Gunners Park, Gunners Circle, EPPING 1, 7960",021 531-8015,Rough Work,Unit 27 Gunners Park,Gunners Circle,7960,,,,31
1032,NQTAC - Cape (Pty)Ltd,nancy@balalaika.co.za,,,113225050,8 Shamrock Place,95 York Street,George,,,,,32
1034,NQTAC - Cape (Pty)Ltd,nqtac@mweb.co.za,,,116560090,8 Shamrock Place,95 York Street,George,,,,,33
1038,NY Management Development Consultants cc,ny-mdc@webmail.co.za,P O Box 907 Howard Place 7450,2 Silverdale Pinelands 7450,021-5315348,Rough Work,2 Silverdale Pinelands 7450,,7450,,,,34
1040,OBIQUA CORRECTIONAL SERVICES,,,"KRUISVALLEI ROAD, OBIQUA, TULBAGH",023-2301070,Rough Work,KRUISVALLEI ROAD,OBIQUA,,,,,35
1041,OCEAN VIEW ALC,,,"HYDRA AVENUE, OCEAN VIEW, FISH HOEK",021-7831623,Rough Work,HYDRA AVENUE,OCEAN VIEW,,,,,36
1042,Old Mutual South Africa,bjohnson@oldmutual.com,,,(021) 504 4043,Rough Work,,,,,,,37
1043,OLIFANTSRIVIER VOLWASSE ONDERRIG SENTRU,,,"HOERSKOOLWEG, VREDENDAL NOORD, VREDENDAL",027-2131790,Rough Work,HOERSKOOLWEG,VREDENDAL NOORD,,,,,38
1045,Omega Art 2000 (Pty) Limited,oscar@icsafrica.com,19 Section Street,,0215110290,,19 Section Street,Paarden Eiland,7420,,OB Kensley,,39
1046,Omega Art Print,,19 Section Street,19 Section Street,,Rough Work,19 Section Street,,,,,,40
1048,Omni HR Consulting Pty Ltd t/a Omni HRC,cindyl@omnihrc.com,P O BOX 6354 Welgemoed 7538,SUITE 101 BUILDING 20 KOTZEE ROAD WAVERLEY BUSINESS PARK MOWBRAY 7700,021-4472165,Rough Work,SUITE 101 BUILDING 20 KOTZEE ROAD WAVERLEY BUSINESS PARK MOWBRAY 7700,,,,,,41
105, BEARMA STAAL BK (Paarl),bearma@mweb.co.za,"P O Box 7123, PAARL, 7620","32 Westhoven Street, PAARL, 7646",021 872-2028,Rough Work,32 Westhoven Street,PAARL,7646,,,,42
1050,Omni Learning Pty Ltd,lizem@omnihplearning.com,P O Box 844 Constantia Cape Town 7848,Suite 101 Bldg 20 Waverley Business Park Kotzee Road Mowbray 7700,021-447 2165,Rough Work,Suite 101 Bldg 20 Waverley Business Park Kotzee Road Mowbray 7700,,7700,,,,43
1051,On the Ball Computers,,P O Box 14253 Kenwyn 7790,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,021-4218580,Rough Work,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,,8001,,,,44
1052,On the Ball Computers,0,P O Box 14253 Kenwyn 7790,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,021-4218580,Rough Work,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,,8001,,,,45
1053,One World Language School (OWLS),cap-enquiries@eurocentres.com,P O Box 7888 Roggebaai  8012,50 Long Street Cape Town 8000,021-4231833,Rough Work,50 Long Street Cape Town 8000,,8000,,,,46
1054,Operation Upgrade Early Childhood Development Project,hgr@zsd.co.za,P O BOX 2510 PLETTENBURG BAY 6600,Ladywood Drive  Ladywood Plettenburg Bay 6600,044-533 6303,Rough Work,Ladywood Drive  Ladywood Plettenburg Bay 6600,,6600,,,,47
1055,Operational Process Improvements ( OPI),louwren.1@absamail.co.za,0,Operational Process Improvements ( OPI),021-9792010,Rough Work,Operational Process Improvements ( OPI),,,,,,48
1056,Operational Process Improvements (Pty) Ltd,,"PO Box 4013 Durbanville,  7551","19 Hawk Cres Table View, Western Cape, 7441 South Africa",,Rough Work,19 Hawk Cres Table View,Western Cape,7441,,,,49
1058,Optimum Learning Technologies (Pty) Ltd,rene@optimumlearn.com,"Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460","Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460",021-914 2127,Rough Work,Block D,Belvedere Office Park,,,,,50
1059,Orbis Security Solutions Pty Ltd ,info@orbissecurity.co.za,"Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800","Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800",021-762 3813,Rough Work,Muller Bldg,Gabriel Rd,7800,,,,51
106, BEAUFORT WEST TRUCK CENTRE (Beaufort West),l.g.naude@intekom.co.za,"P O Box 321, BEAUFORT WEST, 6970","Arbeid Street, BEAUFORT WEST, 6970",023 414-3273,Rough Work,Arbeid Street,BEAUFORT WEST,6970,,,,52
1060,ORCHARD ALC,,,"ORCHARD PRIMARY, DE DOORNS, DE DOORNS",023-3427633,Rough Work,ORCHARD PRIMARY,DE DOORNS,,,,,53
1062,Otis (Pty) Ltd (MOWBRAY) (TP),juggie.maharaj@otis.com,"P O Box 13155, MOWBRAY, 7705","The Waverley - Unit 23A, Koetzee Road, Mowbray, CAPE TOWN, 7700",021 460-6600,Rough Work,The Waverley - Unit 23A,Koetzee Road,7700,,,,54
1063,OUDTSHOORN CLC,,,"SPRINGBOK AVENUE, BRIDGTON, OUDTSHOORN",044-2793253,Rough Work,SPRINGBOK AVENUE,BRIDGTON,,,,,55
1064,OUDTSHOORN CORRECTIONAL SERVICES,,,"OUDTSHOORN CORRECTIONAL SERVIC,VICTORIA STREET, OUDTSHOORN",044-2728951,Rough Work,OUDTSHOORN CORRECTIONAL SERVIC,VICTORIA STREET,,,,,56
1065,OVERBERG CLC,,,"MEYERLAAN, MEYERSENTRUM, GENADENDAL",028-2518060,Rough Work,MEYERLAAN,MEYERSENTRUM,,,,,57
1066,OVERSTRAND CLC,,,"CHURCH STREET, HAWSTON, HAWSTON",028-3151652,Rough Work,CHURCH STREET,HAWSTON,,,,,58
1067,Overstrand Skills Training Network,info@oti.org.za,0,0,028-3130129,Rough Work,0,,,,,,59
1068,Oxbridge Academy (Pty) Ltd ,,"PO Box 12723, Die Boord
Stellenbosch
7613","19A Oewerpark, Rokewood Avenue
Stellenbosc 
7613",021 1100 200,Rough Work,19A Oewerpark,Rokewood Avenue,7613,,,,60
1069,OXBRIDGE ACADEMY PTY LTD,lenette@oxbridgeacademy.co.za,PO Box 12723 Die Boord Western Cape 7613,19A Oewerpark Rokewood Avenue Die Boord Stellenbosch 7600,021-933 6513,Rough Work,19A Oewerpark Rokewood Avenue Die Boord Stellenbosch 7600,,7600,,,,61
107, BECO TRAINING (PTY) LTD (Erinvale)(TP),l.g.naude@intekom.co.za,"P O Box 321, BEAUFORT WEST, 6970","Arbeid Street, BEAUFORT WEST, 6970",023 414-3273,Rough Work,Arbeid Street,BEAUFORT WEST,6970,,,,62
1071,PAARDEBERG CORRECTIONALSERVICES,,,"STAART VAN PAARDEBERG, AGTER PAARL, PAARL",021-8698115,Rough Work,STAART VAN PAARDEBERG,AGTER PAARL,,,,,63
1072,PAARDEKRAAL,,,"LONG STREET, PORTERVILLE",022-9313947,Rough Work,LONG STREET,PORTERVILLE,,,,,64
1073,Paarl Coldset  ( Paarl ),melissa.doyle@paarlmedia.co.za,P.O. BOX 248,,021 871 1170,,8 Jan van Riebeeck,Paarl,7646,,Melissa Doyle,,65
1074,Paarl Coldset (Paarden Eiland),,Lynx Street,Lynx Street,214062222,Rough Work,Lynx Street,,,,,,66
1076,Paarl Coldset Noordwes Drukkery,,Olen Laan 11,Olen Laan 11,27182973831,Rough Work,Olen Laan 11,,,,,,67
1077,Paarl Labels,,22 Oosterland Street,22 Oosterland Street,218689279,Rough Work,22 Oosterland Street,,,,,,68
1078,Paarl Labels,callie.deWet@paarllabels.co.za,P O Box 248,,021-8689279,22 Oosterland Street,Dal Josafat,PAARL,7646,,Mr Callie de Wet,,69
1079,Paarl Litho Printers,,Rheebok Slot,Rheebok Slot,218642828,Rough Work,Rheebok Slot,,,,,,70
108, Beekman Super Canopies (STIKLAND) (TP),http://www.beekman.co.za/,"P.O. Box 76, Sanlamhof 7532","Isotope Street, Stikland, Bellville",(021) 948-3701,Rough Work,Isotope Street,Stikland,,,,,71
1081,Paarl Media Academy,,10 Freedom Drive,10 Freedom Drive,215506213,Rough Work,10 Freedom Drive,,,,,,72
1082,Paarl Media Academy,nico.grobbelaar@paarlmedia.co.za,P.O Box 37014,,021 550 6213,10 Freedom Drive,Marconi Beam,Montague Gardens,7442,,Nico Grobbelaar or Owen America,,73
1083,Paarl Media Cape,,Freedom Way,Freedom Way,215502400,Rough Work,Freedom Way,,,,,,74
1084,Paarl Media Cape,Wilna.Barnard@paarlmedia.co.za,P O BOX 37014,,021-550 2400,Freedom Way,Marconi Beam,Milnerton,7441,,Wilna Barnard or Mr.Graeme Kiewietz,,75
1085,Paarl Media Cape ( Close),fabianf@paarlweb.co.za,P O BOX 248,,(021)871-1180,,15 Jan Van Riebeeck Drive,Paarl,7646,,Fabian Fayers,,76
1086,Paarl Media Paarl,,22 Osterland Street,22 Osterland Street,218689000,Rough Work,22 Osterland Street,,,,,,77
1087,Paarl Media Paarl,leone.fouche@paarlprint.co.za,P O Box 248,,021- 868 9000,22 Osterland Street,Dal Josafat,PAARL,7620,,Leone Fouche,,78
1088,Paarl Post Media(Pty)Ltd,,8 Jan Van Riebeeck Road,8 Jan Van Riebeeck Road,218711170,Rough Work,8 Jan Van Riebeeck Road,,,,,,79
1089,Paarl Post Media(Pty)Ltd,ryand@paarlpost.co.za,P O BOX 248,,(021)871-1170,,8 Jan Van Riebeeck Road,Paarl,7646,,Ryan Damonse,,80
109, BELGIAN AMERICAN MOTORS (Montague Gardens),bamotors@compuscan.co.za,"P O Box 36635, CHEMPET, 7442","3 Marconi Road, Unit 1 - Montigo Park, MONTAGUE GARDENS, 7441",021 551-4316,Rough Work,3 Marconi Road,Unit 1 - Montigo Park,7441,,,,81
1090,Pace Career Centre,den@pace.za.com,P O Box 11463 1686,4 Hawston Road Milnerton 7441,021-555 3928,Rough Work,4 Hawston Road Milnerton 7441,,7441,,,,82
1094,PARKDENE-PACALTSDORP CLC,,,"ATKINSON MANOR, MISSION STREET, PACALTSDORP",044-8732324,Rough Work,ATKINSON MANOR,MISSION STREET,,,,,83
1095,PARMALAT SOUTH AFRICA (PTY) LTD STELLENBOSCH,milkinfo@parmalat.co.za,PO Box 305 Parow 7500,60 Ring Rd Industria,021-933 6333,Rough Work,60 Ring Rd Industria,,,,,,84
1096,PC Training & Business College ,info@gopctraining.co.za,,,0891321321,Rough Work,,,,,,,85
1097,PC Training and Business College (Pty) Ltd,info@gopctraining.co.za,Private Bag X23 Umhlanga Rocks 4320,"49 St George’s Mall, Corner Castle Street & St George’s Mall, Cape Town, 8000",(031) 304-9340,Rough Work,49 St George’s Mall,Corner Castle Street & St George’s Mall,8000,,,,86
1099,PEARLY BEACH ALC,,,"PEARLY BEACH COMMUNITY HALL, PEARLY BEACH, PEARLY BEACH",028-3151652,Rough Work,PEARLY BEACH COMMUNITY HALL,PEARLY BEACH,,,,,87
11, iThemba Labantu Vocational Training Centre (CAPE TOWN) (TP),ithembalabantulcc@gmail.com,"Cnr Eisleben & Sheffield Streets, Philippi East, CAPE TOWN, 7785","Cnr Eisleben & Sheffield Streets, Philippi East, CAPE TOWN, 7785",021 371-2814,Rough Work,Cnr Eisleben & Sheffield Streets,Philippi East,7785,,,,88
110, BELMET TRAINING CENTRE T/A BELMET MARINE (PTY) LTD (Bellville)(TP),lushane@belmet.co.za,"P O Box 397, BELLVILLE, 7535","Atomic Street, Triangle Farms, BELLVILLE, 7530",021 948-5682,Rough Work,Atomic Street,Triangle Farms,7530,,,,89
1100,Pearson Education Achievement Solutions,Andelie.Zeeman@Pearson.com,P O Box 396 Cape Town 8000,Glen Roy Road Pinelands Cape Town 7405,021-532 6000,Rough Work,Glen Roy Road Pinelands Cape Town 7405,,,,,,90
1101,PELANDABA CLC,,,"TYHOLORHA PRIMARY, SANDKRAAL ROAD, GEORGE",044-8732324,Rough Work,TYHOLORHA PRIMARY,SANDKRAAL ROAD,,,,,91
1103,PEOPLE FOR CHRIST MINISTRIES CLC,,,"RANGE STREET, THE RANGE, ELSIES RIVER",021-9335619,Rough Work,RANGE STREET,THE RANGE,,,,,92
1104,Perishable Products Export Control Board (PPECB),geraldened@ppecb.com/ siviwem@ppecb.com,PO BOX 15289 Panorama Cape Town Cape Town Metro Urban 7506,Perishable Products Export Control Board (PPECB) 45 SILVERBOOM AVENUE PANORAMA Cape Town Cape Town Metro Urban 7506,021-9301134/ 0792885135,Rough Work,Perishable Products Export Control Board (PPECB) 45 SILVERBOOM AVENUE PANORAMA Cape Town Cape Town Metro Urban 7506,,,,,,93
1105,PERSEVERANCE ALC,,,"PERSEVERANCE SSS, ALABAMA ROAD, BELHAR",073-5976374,Rough Work,PERSEVERANCE SSS,ALABAMA ROAD,,,,,94
1106,Persona Doll Training SA,personadolls@jaywalk.com,P O Box 91 Kalk Bay 7990,8 Colyn Road Kalk Bay 7975,021-788 4365,Rough Work,8 Colyn Road Kalk Bay 7975,,,,,,95
1108,PETRO S A ,petrosa@petrosa.co.za,"Petroleum, Oil and Gas Corporation of South Africa (SOC) Ltd",151 Frans Conradie Drive PAROW  7500,021-929 3000,Rough Work,151 Frans Conradie Drive PAROW  7500,,7500,,,,96
1109,PetroSA: Mosselbay,,"Bill Jeffrey Avenue, Mossel Bay","Bill Jeffrey Avenue, Mossel Bay",27822263931,Rough Work,Bill Jeffrey Avenue,Mossel Bay,,,,,97
1110,PETUNIA,,,"C/O PETUNIA PRIMARY SCHOOL, SCOTTSVILLE, KRAAIFONTEIN",021-6921355,Rough Work,C/O PETUNIA PRIMARY SCHOOL,SCOTTSVILLE,,,,,98
1111,PHAKAMANI ALC,,,"GUGULETHU COMPREHENSIVE, NY 50, GUGULETHU",021-6375783,Rough Work,GUGULETHU COMPREHENSIVE,NY 50,,,,,99
1113,Phezukomkhono Training Services,raoul@lantic.net; phezuwc@xsinet.co.za,PO Box 691Outdshoorn Urban 6620,Phezukomkhono Training Services Prince Vincent Building Room 12 c/o Baron Van Reede & Church Street Oudtshoorn Urban 6620,044-279 3288/9/ 073 699 8665,Rough Work,Phezukomkhono Training Services Prince Vincent Building Room 12 c/o Baron Van Reede & Church Street Oudtshoorn Urban 6620,,,,,,100
1114,PHILADELPHIA,,,"MEULENHOF PS, BAKENSTRAAT, PHILADELPHIA",021-5725884,Rough Work,MEULENHOF PS,BAKENSTRAAT,,,,,101
1115,Philani Training and Development Solutions NPC,Estelle@cwf.co.za,0,Philani Training and Development Solutions NPC AgriSeta House 529 Belvedere Street,021-8832490,Rough Work,Philani Training and Development Solutions NPC AgriSeta House 529 Belvedere Street,,,,,,102
1116,Philani Training and Development Solutions NPC,marguerite@cwf.co.za,Aan-de-Wagen Road Stellenbosch 7600,Aan-de-Wagen Road Stellenbosch 7600,021-8832490,Rough Work,Aan-de-Wagen Road Stellenbosch 7600,,7600,,,,103
1117,PHUMELELA ALC,,,"SITHEMBELE MATISO HIGH, KOORNHOOF STREET, NEW CROSSROADS",021-3851371,Rough Work,SITHEMBELE MATISO HIGH,KOORNHOOF STREET,,,,,104
1118,PIKETBERG ALC,,,"AANDBLOM STRAAT, P/A STEYNVILLE KOSHUIS, PIKETBERG",022-9131309,Rough Work,AANDBLOM STRAAT,P/A STEYNVILLE KOSHUIS,,,,,105
112, Blackbird Trading 168 cc T/A Blackbird Training Centre (CAPE TOWN) (TP),http://www.bl2000.co.za/,,,011 477 2389,Rough Work,,,,,,,106
1120,PINOCCHIO CRECHE,,,"RAWSONVILLE PRIMARY SCHOOL, DE NOVA, RAWSONVILLE",023-3427633,Rough Work,RAWSONVILLE PRIMARY SCHOOL,DE NOVA,,,,,107
1122,Plasticwrap- CTP,forbesm@plasticwrap.co.za,P O BOX 38007,,021-530 6150,,36 Old Mill Road,N'dabeni,7405,,Forbes Muzamhindo,,108
1124,PLETTENBERG BAY CLC,,,"PLETTENBERG BAY SECONDARY SCHO,EBENEZER HIEGHTS, PLETTENBERG BAY",044-3824327,Rough Work,PLETTENBERG BAY SECONDARY SCHO,EBENEZER HIEGHTS,,,,,109
1125,PLETTENBERG BAY INDUSTRIA,,,"QOLWENI, PLETTENBERG BAY",044-5336071,Rough Work,QOLWENI,PLETTENBERG BAY,,,,,110
1126,POLLSMOOR PRISON,,,"DCS POLLSMOOR EDUCATION, STEENBERG ROAD, TOKAI",021-7001341,Rough Work,DCS POLLSMOOR EDUCATION,STEENBERG ROAD,,,,,111
1127,PolyGraphics,,15 B Mail Street,15 B Mail Street,215351484,Rough Work,15 B Mail Street,,,,,,112
1128,PolyGraphics,Brigitte.Manzoni@Polygraphic.co.za,P O Box 406,,021- 535 1484,15 B Mail Street,Western Province Park,EPPING,7460,,Mrs B R Manzoni,,113
1129,PolyPak (Pty) Ltd,,10 Station Road,10 Station Road,219035138,Rough Work,10 Station Road,,,,,,114
113, Boland College (Worcester Campus) (WORCESTER) (TP),ronavdw@bolandcollege.com,"Private Bag X3093, WORCESTER, 6849","Renier Street, WORCESTER, 6850",021 886-7111,Rough Work,Renier Street,WORCESTER,6850,,,,115
1130,PolyPak (Pty) Ltd,Leon@polypak.co.za,PO Box 7580,,0219035138,,10 Station Road,Kuilsrivier,7579,,Leon Strauss,,116
1131,PORTERVILLE CLC,,,"LANGSTRAAT, PORTERVILLE, PORTERVILLE",022-9313947,Rough Work,LANGSTRAAT,PORTERVILLE,,,,,117
1132,PORTLANDS CLC,,,"C/O MORGENSTER & MERRYDALE AVE,PORTLANDS, MITHCHELL'S PLAIN",021-3745772,Rough Work,C/O MORGENSTER & MERRYDALE AVE,PORTLANDS,,,,,118
1139,Presentation Software Training,psttraining@iafrica.com,"Montrose Place 2nd Floor, Cnr Pasita & Bella Rosa Street Rosenpark Bellville Western Cape 7550","Montrose Place 2nd Floor, Cnr Pasita & Bella Rosa Street Rosenpark Bellville Western Cape 7550",021-9140850,Rough Work,Montrose Place 2nd Floor,Cnr Pasita & Bella Rosa Street Rosenpark Bellville Western Cape 7550,,,,,119
114, BREEDE VALLEI BAKWERKE (Worcester),breedevb@mweb.co.za,"22 Field Street, Industria, WORCESTER, 6850","22 Field Street, Industria, WORCESTER, 6850",023 342-3585,Rough Work,22 Field Street,Industria,6850,,,,120
1141,Prestige Academy (Pty) Ltd,,P O Box 2220 BELLVILLE 7535,"1023 Bank Avenue, Centurion, 0157",(021) 949-5036,Rough Work,1023 Bank Avenue,Centurion,157,,,,121
1142,Prestige Academy (Pty) Ltd,,P O Box 2220 BELLVILLE 7535,"DJ Wood Avenue, Bellville Business Park, Corner Voortrekker Street & Mike Pienaar, Bellville, 7530",(021) 949-5036,Rough Work,DJ Wood Avenue; Bellville Business Park,Corner Voortrekker Street & Mike Pienaar,7530,,,,122
1144,Pricewaterhousecoopers ,,,"Cape Town, Paarl, Stellenbosch, Worcester",,Rough Work,Cape Town,Paarl,,,,,123
1146,PRINCE ALFRED'S HAMLET,,,"LYELL STREET, HAMLET, CERES",023-3162748,Rough Work,LYELL STREET,HAMLET,,,,,124
1147,Printafoil (Pty) Limited,,21 Warrington Road,21 Warrington Road,216719066,Rough Work,21 Warrington Road,,,,,,125
1149,Printbind Cape (Pty)Ltd,,"Unit 4,Graphtek Park 23 Techno Crescent","Unit 4,Graphtek Park 23 Techno Crescent",215348219,Rough Work,Unit 4,Graphtek Park 23 Techno Crescent,,,,,126
115, BURGER PETROL AND DIESEL (WORCESTER),burgerpd@yebo.co.za,"P O Box 571, WORCESTER, 6849","119 Sheard Street, Worcester",023 347 2705,Rough Work,119 Sheard Street,Worcester,,,,,127
1151,Printech Engineering,,43 Mansell Avenue,43 Mansell Avenue,215560980,Rough Work,43 Mansell Avenue,,,,,,128
1152,Printech Engineering,nicole@printech.co.za,43 Mansell Avenue,,021-  556 0980,,43 Mansell Avenue,Killarney Gardens,7441,,Nicole Beermann,,129
1154,Procedo Training,,"Unit 7 Prodev Park, Langenegger Street, Gangs Centre","Unit 7 Prodev Park, Langenegger Street, Gangs Centre",866080352,Rough Work,Unit 7 Prodev Park;  Langenegger Street,Gangs Centre,7140,,,,130
1155,Procedo Training Providers (PTY)LTD,,"Unit 8 Pro Dev Park, Langenegger Street, Gants Centre, Strand, Cape Town, 7140","Unit 8 Pro Dev Park, Langenegger Street, Gants Centre, Strand, Cape Town, 7140",728288169,Rough Work,Unit 8 Pro Dev Park;  Langenegger Street,Gants Centre,7140,,,,131
1157,Procedo Training Providers cc,christolmay@yahoo.com,Unit 8 - Pro Dev Park Langenegger Street Gants Centre Strand 7140,Unit 8 - Pro Dev Park Langenegger Street Gants Centre Strand 7140,021 827 0271;,Rough Work,Unit 8 - Pro Dev Park Langenegger Street Gants Centre Strand 7140,,7140,,,,132
1158,PROCEDO TRAINING PROVIDERS CC (Strand)(DTTC),,"Pro Dev Park Unit 8, Langenegger Street, Strand, 7140","Pro Dev Park Unit 8, Langenegger Street, Strand, 7140",,Rough Work,Pro Dev Park Unit 8,Langenegger Street,7140,,,,133
1159,Procedo Training Providers Pty Ltd,,"Unit 7, Pro Dev Park, Langenegger Street Gants Centre, Strnd","Unit 7, Pro Dev Park, Langenegger Street Gants Centre, Strnd",728288169,Rough Work,Unit 7,Pro Dev Park,,,,,134
