ProviderID,Provider Name,Group Provider,Email,Postal address,Centre address,Telephone no,Room_Floor,Building,House Number,StreetName,Mini_Suburb,Suburb,City,Postal Code,Comment,Website,ContactName,ContactSurname,ID,ETQAs_providers_ID,OldStreetData,Old_Room_Floor,Old_Building,Old_House Number,Old_StreetName,Old_Suburb,Old_City,Old_Postal Code
1009,Northlink (Bellville),NORTHLINK TVET COLLEGE,,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,767348319,,NL Bellville Campus,,Sackson Street,,Bellville South,,7530,,,,,11,11,Rough Work,,,,Bellville Campus Sackson Street BELLVILLE SOUTH 7530,,,7530
101,BARLOWORLD TOYOTA (Tygervalley),,dbvtoysem@bmh.co.za,"Suite 110, Private Bag X7, TYGERVALLEY, 7536","282 Durban Road, Oakdale, TYGERVALLEY, 7530",021 910 8000,,,282,Durban Road,,Oakdale,,7530,,,,,12,8,Rough Work,,,,282 Durban Road,Oakdale,,7530
1010,Northlink Belhar,NORTHLINK TVET COLLEGE,,"Proton Street, Belhar, 7493","Proton Street, Belhar, 7493",219526694,,NL Belhar Campus,,Proton Street,,Belhar,,7493,,,,,13,11,Rough Work,,,,Proton Street,Belhar,,7493
1012,Northlink College - Belville Campus,NORTHLINK TVET COLLEGE,mdewaal@northlink.co.za,,,215242252,,,,Sackson Street,,Mimosa,Cape Town,7500,,,,,14,22,,,,,1 De Tijger,Parow,,7500
1013,Northlink College - Wingfield Campus (GOODWOOD) (DTTC),NORTHLINK TVET COLLEGE,,"Vanguard Drive, Wingfield Navy Base, Goodwood, 7460","Vanguard Drive, Wingfield Navy Base, Goodwood, 7460",,,NL Wingfield Campus,,Vanguard Drive,,Wingfield Navy Base,,7460,,,,,15,11,Rough Work,,,,Vanguard Drive,Wingfield Navy Base,,7460
1014,Northlink FET College,NORTHLINK TVET COLLEGE,akoeleman@northlink.co.za,Private Bag X1 Panorama 7506,Rothschille Boulevard Panorama 7500,(021) 524 2200,,,,Rothschild Boulevard,,Panorama,,7506,,,Annemarie,Koeleman,16,16,,,,,Rothschild Boulevard,Panorama,,7506
1015,Northlink FET College,NORTHLINK TVET COLLEGE,cbam@northlink.co.za,Private Bag X1 Panorama 7506,Proton Road Belhar7493,(021) 952 2113/9,,,,Proton Street,,Belhar,,7493,,,Casper,Bam,17,16,,,,,Proton Street,Belhar,,7493
1016,Northlink FET College,NORTHLINK TVET COLLEGE,jkotsi@northlink.co.za,Private Bag X1 Panorama 7506,Connaught Road Parow Valley 7503,(021) 931 8238,,,,"Connaught Road,",,PAROW VALLEY,,7503,,,Jacob,Kotsi,18,16,,,,,"Connaught Road,",PAROW VALLEY,,7503
1017,Northlink FET College,NORTHLINK TVET COLLEGE,krandall@northlink.co.za,Private Bag X1 Panorama 7506,Sackson Street Bellville South 7530,021) 951 2231,,,,Sackson Street,,Bellville South,,7530,,,Kirk,Randall,19,16,,,,,Sackson Street,Bellville South,,7530
1018,Northlink FET College,NORTHLINK TVET COLLEGE,nkearns@northlink.co.za,Private Bag X1 Panorama 7506,80 Voortrekker Road Bellville,(021) 946 2250,,,80,Voortrekker Rd,,BELLVILLE,,7530,,,Nolan,Kearns,20,16,,,,80,Voortrekker Rd,BELLVILLE,,7530
1020,Northlink FET College,NORTHLINK TVET COLLEGE,plawrence@northlink.co.za,Private Bag X1 Panorama 7560,80 Voortrekker Road Bellville South 7530,(021) 952-2113;,,,80,Voortrekker Road,,Bellville South,,,,,,,21,26,Rough Work,,,,80 Voortrekker Road Bellville South 7530,,,7530
1021,Northlink FET College,NORTHLINK TVET COLLEGE,plouw@northlink.co.za,Private Bag X1 Panorama 7506,Parrow Campus Connaught Road Parow,021-931 8238,,Parow Campus,,Connaught Road,,Parow,,,,,,,22,25,Rough Work,,,,Parrow Campus Connaught Road Parow,,,
1022,Northlink FET College,NORTHLINK TVET COLLEGE,sschmidt@northlink.co.za,Private Bag X1 Panorama 7506,Vanguard Drive Goodwood 7460,(021) 591 9207,,,,Vanguard Drive,,Goodwood,,7460,,,Sandra,Schmidt,23,16,,,,,Vanguard Drive,Goodwood,,7460
1023,Northlink FET College: Belhar Campus (Pending NATC Approval),NORTHLINK TVET COLLEGE,,"1 Proton Road, Cape Town","1 Proton Road, Cape Town",027824202528,,NL Belhar Campus,1,Proton Road,,Cape Town,,8000,,,,,24,11,Rough Work,,,,1 Proton Road,Cape Town,,
1024,Northlink FET College: Belville Campus (Pending NATC Approval),NORTHLINK TVET COLLEGE,,"1 Sackson Street, Belville South, 7530","1 Sackson Street, Belville South, 7530",027824479200,,NL Belville Campus,1,Sackson Street,,Belville South,,7530,,,,,25,11,Rough Work,,,,1 Sackson Street,Belville South,,7530
1025,Northlink FET College::Wingfield Campus (Pending NATC Approval),NORTHLINK TVET COLLEGE,,"Vanguard Drive, Wingfield Navy Base, Goodwood, 7460","Vanguard Drive, Wingfield Navy Base, Goodwood, 7460",027837083203,,NL Wingfield Navy Base,,Vanguard Drive,,Goodwood,,7460,,,,,26,11,Rough Work,,,,Vanguard Drive,Wingfield Navy Base,,7460
1026,NORTHLINK TVET COLLEGE,NORTHLINK TVET COLLEGE,,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,0767348319,,NL Wingfield Navy Base,,Vanguard Drive,,Goodwood,,7460,,,,,27,11,Rough Work,,,,Vanguard Drive Wingfield Navy Base GOODWOOD 7460,,,7460
1027,NOVICE H E T SERVICES ,,DOCUMENTS@SWIFTREG.CO.ZA,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,,,,4,DELFT STREET,,MALIBU VILLAGEBLUE DOWNS,,7100,,,,,28,18,Rough Work,,,,4 DELFT STREETMALIBU VILLAGEBLUE DOWNS 7100,,,7100
1028,NQTAC - Cape (Pty)Ltd,NQTAC,astrid@nqtac.co.za,,,0842459587,,York House,33,York Street,,George,,6530,,,,,29,22,33 York House,,,33 York House,33 York Street,George,,6530
1029,NQTAC - Cape (Pty)Ltd,NQTAC,astrid@nqtac.co.za,,,0842459587,,8 Shamrock Place,95,York Street,,George,,6530,,,,,30,22,8 Shamrock Place,,,8 Shamrock Place,95 York Street,George,,
103,BARRYS PIPING & WELDING SERVICES (Epping),,barryspiping@telkomsa.net,"No 7, Velma Road, RETREAT, 7945","Unit 27 Gunners Park, Gunners Circle, EPPING 1, 7960",021 531-8015,Unit 27,Gunners Park,,Gunngers Circle,,Epping 1,,7960,,,,,31,8,Rough Work,,,,Unit 27 Gunners Park,Gunners Circle,,7960
1032,NQTAC - Cape (Pty)Ltd,NQTAC,nancy@balalaika.co.za,,,0113225050,,8 Shamrock Place,95,York Street,,George,,6530,,,,,32,22,8 Shamrock Place,,,8 Shamrock Place,95 York Street,George,,
1034,NQTAC - Cape (Pty)Ltd,NQTAC,nqtac@mweb.co.za,,,0116560090,,8 Shamrock Place,95,York Street,,George,,6530,,,,,33,22,8 Shamrock Place,,,8 Shamrock Place,95 York Street,George,,
1038,NY Management Development Consultants cc,,ny-mdc@webmail.co.za,P O Box 907 Howard Place 7450,2 Silverdale Pinelands 7450,021-5315348,,,2,Silverdale,,Pinelands,,7450,,,,,34,25,Rough Work,,,,2 Silverdale Pinelands 7450,,,7450
1040,OBIQUA CORRECTIONAL SERVICES,,,,"KRUISVALLEI ROAD, OBIQUA, TULBAGH",023-2301070,,,,KRUISVALLEI ROAD,,OBIQUA,TULBAGH,,,,,,35,12,Rough Work,,,,KRUISVALLEI ROAD,OBIQUA,TULBAGH,
1041,OCEAN VIEW ALC,,,,"HYDRA AVENUE, OCEAN VIEW, FISH HOEK",021-7831623,,,,HYDRA AVENUE,,OCEAN VIEW,FISH HOEK,,,,,,36,12,Rough Work,,,,HYDRA AVENUE,OCEAN VIEW,FISH HOEK,
1042,Old Mutual South Africa,,bjohnson@oldmutual.com,,,(021) 504 4043,,,,,,,,,,,,,37,6,Rough Work,,,,,,,
1043,OLIFANTSRIVIER VOLWASSE ONDERRIG SENTRU,,,,"HOERSKOOLWEG, VREDENDAL NOORD, VREDENDAL",027-2131790,,HOERSKOOLWEG,,VREDENDAL NOORD,,VREDENDAL NOORD,VREDENDAL,,,,,,38,12,Rough Work,,HOERSKOOLWEG,,VREDENDAL NOORD,VREDENDAL NOORD,VREDENDAL,
1045,Omega Art 2000 (Pty) Limited,,oscar@icsafrica.com,19 Section Street,,0215110290,,,19,Section Street,,Paarden Eiland,,7420,,,OB Kensley,,39,4,,,,,19 Section Street,Paarden Eiland,,7420
1046,Omega Art Print,,,19 Section Street,19 Section Street,,,,19,Section Street,,Paarden Eiland,,7405,,,,,40,11,Rough Work,,,,19 Section Street,,,
1048,Omni HR Consulting Pty Ltd t/a Omni HRC,,cindyl@omnihrc.com,P O BOX 6354 Welgemoed 7538,SUITE 101 BUILDING 20 KOTZEE ROAD WAVERLEY BUSINESS PARK MOWBRAY 7700,021-4472165,,BUILDING 20,,KOTZEE ROAD,,WAVERLEY BUSINESS PARK MOWBRAY,,7700,,,,,41,25,Rough Work,,,,SUITE 101 BUILDING 20 KOTZEE ROAD WAVERLEY BUSINESS PARK MOWBRAY 7700,,,
105,BEARMA STAAL BK (Paarl),,bearma@mweb.co.za,"P O Box 7123, PAARL, 7620","32 Westhoven Street, PAARL, 7646",021 872-2028,,,32,Westhoven Street,,PAARL,PAARL,7646,,,Duplicate Suburb/City,,42,8,Rough Work,,,,32 Westhoven Street,PAARL,,7646
1050,Omni Learning Pty Ltd,,lizem@omnihplearning.com,P O Box 844 Constantia Cape Town 7848,Suite 101 Bldg 20 Waverley Business Park Kotzee Road Mowbray 7700,021-447 2165,,BUILDING 20,,KOTZEE ROAD,,WAVERLEY BUSINESS PARK MOWBRAY,,7700,,,,,43,25,Rough Work,,,,Suite 101 Bldg 20 Waverley Business Park Kotzee Road Mowbray 7700,,,7700
1051,On the Ball Computers,,,P O Box 14253 Kenwyn 7790,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,021-4218580,,Barry Streek House,19,Loop Street,,Cape Town,Cape Town,8001,,,Duplicate Suburb/City,,44,9,Rough Work,,,,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,,,8001
1052,On the Ball Computers,,0,P O Box 14253 Kenwyn 7790,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,021-4218580,,Barry Streek House,19,Loop Street,,Cape Town,Cape Town,8001,,,Duplicate Suburb/City,,45,9,Rough Work,,,,Barry Streek House 19 Loop Street Cape Town Western Cape 8001,,,8001
1053,One World Language School (OWLS),,cap-enquiries@eurocentres.com,P O Box 7888 Roggebaai  8012,50 Long Street Cape Town 8000,021-4231833,,,50,Long Street,,Cape Town,,8000,,,,,46,25,Rough Work,,,,50 Long Street Cape Town 8000,,,8000
1054,Operation Upgrade Early Childhood Development Project,,hgr@zsd.co.za,P O BOX 2510 PLETTENBURG BAY 6600,Ladywood Drive  Ladywood Plettenburg Bay 6600,044-533 6303,,,,Ladywood Drive,,Ladywood Plettenburg Bay,,6600,,,,,47,25,Rough Work,,,,Ladywood Drive  Ladywood Plettenburg Bay 6600,,,6600
1055,Operational Process Improvements ( OPI),,louwren.1@absamail.co.za,0,Operational Process Improvements ( OPI),021-9792010,,,,,,,,,,,,,48,20,Rough Work,,,,Operational Process Improvements ( OPI),,,
1056,Operational Process Improvements (Pty) Ltd,,,"PO Box 4013 Durbanville,  7551","19 Hawk Cres Table View, Western Cape, 7441 South Africa",,,,19,Hawk Cres,,Table View,Cape Town,7441,,,,,49,3,Rough Work,,,19,Hawk Cres,Table View,,7441
1058,Optimum Learning Technologies (Pty) Ltd,,rene@optimumlearn.com,"Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460","Block D, Belvedere Office Park, Bella Rosa Street Durbanville Cape Town 7460",021-914 2127,Block D,Belvedere Office Park,,Bella Rosa Street,,Durbanville,Cape Town,7460,,,Duplicate Suburb/City,,50,19,Rough Work,,,,Block D,Belvedere Office Park,,
1059,Orbis Security Solutions Pty Ltd ,,info@orbissecurity.co.za,"Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800","Muller Bldg, Gabriel Rd, Plumstead, Cape Town, 7800",021-762 3813,,,,Muller Bldg,,Gabriel Rd,,7800,,,,,51,18,Rough Work,,,,Muller Bldg,Gabriel Rd,,7800
106,BEAUFORT WEST TRUCK CENTRE (Beaufort West),,l.g.naude@intekom.co.za,"P O Box 321, BEAUFORT WEST, 6970","Arbeid Street, BEAUFORT WEST, 6970",023 414-3273,,,,Arbeid Street,,BEAUFORT WEST,BEAUFORT WEST,6970,,,Duplicate Suburb/City,,52,8,Rough Work,,,,Arbeid Street,BEAUFORT WEST,,6970
1060,ORCHARD ALC,,,,"ORCHARD PRIMARY, DE DOORNS, DE DOORNS",023-3427633,,ORCHARD PRIMARY,,DE DOORNS,,DE DOORNS,DE DOORNS,,,,,,53,12,Rough Work,,ORCHARD PRIMARY,,DE DOORNS,DE DOORNS,DE DOORNS,
1062,Otis (Pty) Ltd (MOWBRAY) (TP),,juggie.maharaj@otis.com,"P O Box 13155, MOWBRAY, 7705","The Waverley - Unit 23A, Koetzee Road, Mowbray, CAPE TOWN, 7700",021 460-6600,Unit 23A,The Waverley,,Koetzee Road,,Mowbray,,7700,,,,,54,8,Rough Work,,,,The Waverley - Unit 23A,Koetzee Road,,7700
1063,OUDTSHOORN CLC,,,,"SPRINGBOK AVENUE, BRIDGTON, OUDTSHOORN",044-2793253,,,,SPRINGBOK AVENUE,,BRIDGTON,OUDTSHOORN,,,,,,55,12,Rough Work,,,,SPRINGBOK AVENUE,BRIDGTON,OUDTSHOORN,
1064,OUDTSHOORN CORRECTIONAL SERVICES,,,,"OUDTSHOORN CORRECTIONAL SERVIC,VICTORIA STREET, OUDTSHOORN",044-2728951,,OUDTSHOORN CORRECTIONAL SERVIC,,VICTORIA STREET,,OUDTSHOORN,OUDTSHOORN,,,,,,56,12,Rough Work,,OUDTSHOORN CORRECTIONAL SERVIC,,VICTORIA STREET,OUDTSHOORN,OUDTSHOORN,
1065,OVERBERG CLC,,,,"MEYERLAAN, MEYERSENTRUM, GENADENDAL",028-2518060,,,,MEYERLAAN,,MEYERSENTRUM,GENADENDAL,,,,,,57,12,Rough Work,,,,MEYERLAAN,MEYERSENTRUM,GENADENDAL,
1066,OVERSTRAND CLC,,,,"CHURCH STREET, HAWSTON, HAWSTON",028-3151652,,,,CHURCH STREET,,HAWSTON,HAWSTON,,,,,,58,12,Rough Work,,,,CHURCH STREET,HAWSTON,HAWSTON,
1067,Overstrand Skills Training Network,,info@oti.org.za,0,,028-3130129,,,,0,,,,,,,,,59,9,Rough Work,,,,0,,,
1068,Oxbridge Academy (Pty) Ltd ,,,"PO Box 12723, Die Boord
Stellenbosch
7613","19A Oewerpark, Rokewood Avenue
Stellenbosc 
7613",021 1100 200,19A,Oewerpark,,Rokewood Avenue,,Stellenbosch,Stellenbosch,7613,,,,,60,2,Rough Work,19A,Oewerpark,,Rokewood Avenue,Stellenbosch,,7613
1069,OXBRIDGE ACADEMY PTY LTD,,lenette@oxbridgeacademy.co.za,PO Box 12723 Die Boord Western Cape 7613,19A Oewerpark Rokewood Avenue Die Boord Stellenbosch 7600,021-933 6513,,,,Oewerpark Rokewood Avenue,,Die Boord Stellenbosch,,7600,,,,,61,25,Rough Work,,,,19A Oewerpark Rokewood Avenue Die Boord Stellenbosch 7600,,,7600
107,BECO TRAINING (PTY) LTD (Erinvale)(TP),,l.g.naude@intekom.co.za,"P O Box 321, BEAUFORT WEST, 6970","Arbeid Street, BEAUFORT WEST, 6970",023 414-3273,,,,Arbeid Street,,BEAUFORT WEST,BEAUFORT WEST,6970,,,Duplicate Suburb/City,,62,8,Rough Work,,,,Arbeid Street,BEAUFORT WEST,,6970
1071,PAARDEBERG CORRECTIONALSERVICES,,,,"STAART VAN PAARDEBERG, AGTER PAARL, PAARL",021-8698115,,STAART VAN PAARDEBERG,,AGTER PAARL,,AGTER PAARL,PAARL,,,,,,63,12,Rough Work,,STAART VAN PAARDEBERG,,AGTER PAARL,AGTER PAARL,PAARL,
1072,PAARDEKRAAL,,,,"LONG STREET, PORTERVILLE",022-9313947,,,,LONG STREET,,PORTERVILLE,PORTERVILLE,,,,,,64,12,Rough Work,,,,LONG STREET,PORTERVILLE,PORTERVILLE,
1073,Paarl Coldset  ( Paarl ),,melissa.doyle@paarlmedia.co.za,P.O. BOX 248,,021 871 1170,,,5,Lynx Road,,Paarden Island,,7646,,,Melissa Doyle,,65,4,,,,,8 Jan van Riebeeck,Paarl,,7646
1074,Paarl Coldset (Paarden Eiland),,,Lynx Street,Lynx Street,0214062222,,,5,Lynx Street,,Paarden Eiland,,7405,,,,,66,11,Rough Work,,,,Lynx Street,,,
1076,Paarl Coldset Noordwes Drukkery,,,Olen Laan 11,Olen Laan 11,027182973831,,,11,Olen Laan,,PAARL,PAARL,7646,,,Duplicate Suburb/City,,67,11,Rough Work,,,,Olen Laan 11,,,
1077,Paarl Labels,,,22 Oosterland Street,22 Oosterland Street,0218689279,,,22,Oosterland Street,,PAARL,PAARL,7646,,,Duplicate Suburb/City,,68,11,Rough Work,,,,22 Oosterland Street,,,
1078,Paarl Labels,,callie.deWet@paarllabels.co.za,P O Box 248,,021-8689279,,,22,Oosterland Street Dal Josafat,,PAARL,,7646,,,Mr Callie de Wet,,69,4,22 Oosterland Street,,,22 Oosterland Street,Dal Josafat,PAARL,,7646
1079,Paarl Litho Printers,,,Rheebok Slot,Rheebok Slot,0218642828,,Wellington Industrial Park,,Rheebok Slot,,WELLINGTON,WELLINGTON,7655,Address Added,,Duplicate Suburb/City,,70,11,Rough Work,,,,Rheebok Slot,,,
108,Beekman Super Canopies (STIKLAND) (TP),,http://www.beekman.co.za/,"P.O. Box 76, Sanlamhof 7532","Isotope Street, Stikland, Bellville",(021) 948-3701,,,,Isotope Street,,Stikland,,7530,,,,,71,8,Rough Work,,,,Isotope Street,Stikland,,
1081,Paarl Media Academy,,,10 Freedom Drive,10 Freedom Drive,0215506213,,,10,Freedom Drive,,Milnerton,,7441,,,,,72,11,Rough Work,,,,10 Freedom Drive,,,
1082,Paarl Media Academy,,nico.grobbelaar@paarlmedia.co.za,P.O Box 37014,,021 550 6213,,,10,Freedom Drive Marconi Beam,,Montague Gardens,,7442,,,Nico Grobbelaar or Owen America,,73,4,10 Freedom Drive,,,10 Freedom Drive,Marconi Beam,Montague Gardens,,7442
1083,Paarl Media Cape,,,Freedom Way,Freedom Way,0215502400,,,10,Freedom Way,,Milnerton,,7441,,,,,74,11,Rough Work,,,,Freedom Way,,,
1084,Paarl Media Cape,,Wilna.Barnard@paarlmedia.co.za,P O BOX 37014,,021-550 2400,,,,Freedom Way,,Marconi Beam Milnerton,,7441,,,Wilna Barnard or Mr.Graeme Kiewietz,,75,4,Freedom Way,,,Freedom Way,Marconi Beam,Milnerton,,7441
1085,Paarl Media Cape ( Close),,fabianf@paarlweb.co.za,P O BOX 248,,(021)871-1180,,,15,Jan Van Riebeeck Drive,,Paarl,,7646,,,Fabian Fayers,,76,4,,,,,15 Jan Van Riebeeck Drive,Paarl,,7646
1086,Paarl Media Paarl,,,22 Osterland Street,22 Osterland Street,0218689000,,,22,Oosterland Street,,PAARL,PAARL,7646,,,Duplicate Suburb/City,,77,11,Rough Work,,,,22 Osterland Street,,,
1087,Paarl Media Paarl,,leone.fouche@paarlprint.co.za,P O Box 248,,021- 868 9000,,,22,Osterland Street Dal Josafat,,PAARL,,7620,,,Leone Fouche,,78,4,22 Osterland Street,,,22 Osterland Street,Dal Josafat,PAARL,,7620
1088,Paarl Post Media(Pty)Ltd,,,8 Jan Van Riebeeck Road,8 Jan Van Riebeeck Road,0218711170,,,8,Jan Van Riebeeck Road,,PAARL,PAARL,7646,,,Duplicate Suburb/City,,79,11,Rough Work,,,,8 Jan Van Riebeeck Road,,,
1089,Paarl Post Media(Pty)Ltd,,ryand@paarlpost.co.za,P O BOX 248,,(021)871-1170,,,8,Jan Van Riebeeck Road,,Paarl,,7646,,,Ryan Damonse,,80,4,,,,,8 Jan Van Riebeeck Road,Paarl,,7646
109,BELGIAN AMERICAN MOTORS (Montague Gardens),,bamotors@compuscan.co.za,"P O Box 36635, CHEMPET, 7442","3 Marconi Road, Unit 1 - Montigo Park, MONTAGUE GARDENS, 7441",021 551-4316,Unit 1 - Montigo Park,Montigo Park,3,Marconi Road,,Montague Gardens,,7441,,,,,81,8,Rough Work,,,,3 Marconi Road,Unit 1 - Montigo Park,,7441
1090,Pace Career Centre,,den@pace.za.com,P O Box 11463 1686,4 Hawston Road Milnerton 7441,021-555 3928,,,4,Hawston Road,,Milnerton,,7441,,,,,82,25,Rough Work,,,,4 Hawston Road Milnerton 7441,,,7441
1094,PARKDENE-PACALTSDORP CLC,,,,"ATKINSON MANOR, MISSION STREET, PACALTSDORP",044-8732324,,ATKINSON MANOR,,MISSION STREET,,PACALTSDORP,PACALTSDORP,,,,,,83,12,Rough Work,,ATKINSON MANOR,,MISSION STREET,PACALTSDORP,PACALTSDORP,
1095,PARMALAT SOUTH AFRICA (PTY) LTD STELLENBOSCH,,milkinfo@parmalat.co.za,PO Box 305 Parow 7500,60 Ring Rd Industria,021-933 6333,,,,Ring Road,Parow Industria,Parow,Cape Town,7490,,,,,84,3,Rough Work,,,60,Ring Rd,Industria,,
1096,PC Training & Business College ,,info@gopctraining.co.za,,,0891321321,,,,,,,,,,,,,85,2,Rough Work,,,,,,,
1097,PC Training and Business College (Pty) Ltd,,info@gopctraining.co.za,Private Bag X23 Umhlanga Rocks 4320,"49 St George’s Mall, Corner Castle Street & St George’s Mall, Cape Town, 8000",(031) 304-9340,,St George’s Mall,Cnr,Castle Street & St George’s Mall,,Cape Town,,8000,,,,,86,13,Rough Work,,St George’s Mall,Cnr,Castle Street & St George’s Mall,Cape Town,,8000
1099,PEARLY BEACH ALC,,,,"PEARLY BEACH COMMUNITY HALL, PEARLY BEACH, PEARLY BEACH",028-3151652,,PEARLY BEACH COMMUNITY HALL,,PEARLY BEACH,,PEARLY BEACH,PEARLY BEACH,,,,,,87,12,Rough Work,,PEARLY BEACH COMMUNITY HALL,,PEARLY BEACH,PEARLY BEACH,PEARLY BEACH,
11,iThemba Labantu Vocational Training Centre (CAPE TOWN) (TP),,ithembalabantulcc@gmail.com,"Cnr Eisleben & Sheffield Streets, Philippi East, CAPE TOWN, 7785","Cnr Eisleben & Sheffield Streets, Philippi East, CAPE TOWN, 7785",021 371-2814,,,,Cnr Eisleben & Sheffield Streets,,Philippi East,,7785,,,,,88,8,Rough Work,,,,Cnr Eisleben & Sheffield Streets,Philippi East,,7785
110,BELMET TRAINING CENTRE T/A BELMET MARINE (PTY) LTD (Bellville)(TP),,lushane@belmet.co.za,"P O Box 397, BELLVILLE, 7535","Atomic Street, Triangle Farms, BELLVILLE, 7530",021 948-5682,,Triangle Farms,,Atomic Street,,Bellville,,7530,,,,,89,8,Rough Work,,,,Atomic Street,Triangle Farms,,7530
1100,Pearson Education Achievement Solutions,,Andelie.Zeeman@Pearson.com,P O Box 396 Cape Town 8000,Glen Roy Road Pinelands Cape Town 7405,021-532 6000,,,,Glen Roy Road,,Pinelands,Cape Town,7405,,,,,90,25,Rough Work,,,,Glen Roy Road Pinelands Cape Town 7405,,,
1101,PELANDABA CLC,,,,"TYHOLORHA PRIMARY, SANDKRAAL ROAD, GEORGE",044-8732324,,TYHOLORHA PRIMARY,,SANDKRAAL ROAD,,GEORGE,GEORGE,,,,,,91,12,Rough Work,,TYHOLORHA PRIMARY,,SANDKRAAL ROAD,GEORGE,GEORGE,
1103,PEOPLE FOR CHRIST MINISTRIES CLC,,,,"RANGE STREET, THE RANGE, ELSIES RIVER",021-9335619,,,,RANGE STREET,,THE RANGE,ELSIES RIVER,,,,,,92,12,Rough Work,,,,RANGE STREET,THE RANGE,ELSIES RIVER,
