ProviderMasterID1,Provider_ETQA Master_ID,Provider_ETQA Master_Status,Provider_ETQA Master_Provider_ETQA_ID,ProviderID,Provider Name,Group Provider,Postal address,Centre address,Telephone no,House Number,StreetName,Suburb,City,Postal Code,Provider_ETQA_ID,ETQAs_providers_ID,ETQAs_providers_ETQA,ETQAs_providers_Researcher,ETQAs_providers_Status,CourseMasterID1,Courses_ETQA Master_ID,Courses_ETQA Master_Courses_ID,Qualifications_ID,QualCode,QualName,NQF level,Qualification Type,Descriptor,Specialisation,etqas_courses_,Courses_ID,ETQAs_ID,ETQA_ID,ETQAs_Courses_ETQA,ETQAs_Courses_Researcher
22,3824,,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,22,3824,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
26,3828,GETCA blank,723,552,DWARSRIVIER CORRECTIONALSERVICES,,,"DWARSRIVIER CORRECTIONAL SERVI,DE LIEDFE ROAD, WOLSELEY",023-2311011,,DE LIEDFE ROAD,WOLSELEY,WOLSELEY,,723,12,Adult AET,,Public,26,3828,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
27,3829,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,27,3829,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
28,3830,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,28,3830,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
29,3831,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,29,3831,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
30,3832,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,30,3832,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
31,3833,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,31,3833,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
32,3834,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,32,3834,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
33,3835,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,33,3835,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
34,3836,,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,34,3836,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
38,3840,GETCA blank,770,612,EZELFONTEIN,,,"LYELL STREET, CERES, CERE",023-316 2748,,LYELL STREET,CERES,CERES,,770,12,Adult AET,,Public,38,3840,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
39,3841,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,39,3841,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
40,3842,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,40,3842,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
41,3843,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,41,3843,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
42,3844,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,42,3844,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
43,3845,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,43,3845,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
44,3846,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,44,3846,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
45,3847,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,45,3847,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
46,3848,,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,46,3848,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
50,3852,GETCA blank,771,613,EZIQHAMENI ALC,,,"LYELL STREET, HAMLET, CERES",023-3162748,,LYELL STREET,HAMLET,CERES,,771,12,Adult AET,,Public,50,3852,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
51,3853,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,51,3853,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
52,3854,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,52,3854,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
53,3855,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,53,3855,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
54,3856,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,54,3856,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
55,3857,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,55,3857,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
56,3858,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,56,3858,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
57,3859,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,57,3859,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
58,3860,,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,58,3860,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
62,3864,GETCA blank,798,648,FRANSCHOEK CLC,,,"GROENDAL HOER SKOOL, JAFTA SINGEL, FRANSCHOEK",021-8760824,,JAFTA SINGEL,JAFTA SINGEL,FRANSCHOEK,,798,12,Adult AET,,Public,62,3864,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
63,3865,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,63,3865,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
64,3866,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,64,3866,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
65,3867,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,65,3867,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
66,3868,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,66,3868,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
67,3869,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,67,3869,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
68,3870,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,68,3870,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
69,3871,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,69,3871,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
70,3872,,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,70,3872,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
74,3876,GETCA blank,823,687,GOUDA ALC,,,"PETUNIA STREET, ONS RUS, GOUDA",021-8642418,,PETUNIA STREET,ONS RUS,GOUDA,,823,12,Adult AET,,Public,74,3876,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
75,3877,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,75,3877,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
76,3878,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,76,3878,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
77,3879,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,77,3879,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
78,3880,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,78,3880,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
79,3881,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,79,3881,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
80,3882,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,80,3882,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
81,3883,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,81,3883,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
82,3884,,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,82,3884,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
86,3888,GETCA blank,824,688,GOUDINI BAD,,,"GOUDINI PRIMARY, GOUDINI-BAD, RAWSONVILLE",023-3427633,,GOUDINI-BAD,GOUDINI-BAD,RAWSONVILLE,,824,12,Adult AET,,Public,86,3888,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
87,3889,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,87,3889,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
88,3890,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,88,3890,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
89,3891,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,89,3891,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
90,3892,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,90,3892,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
91,3893,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,91,3893,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
92,3894,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,92,3894,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
93,3895,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,93,3895,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
94,3896,,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,94,3896,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
98,3900,GETCA blank,833,699,GROENBERG ALC,,,"ROODSHOEK WAY, WELLINGTON, WELLINGTON",021-8642418,,WELLINGTON,WELLINGTON,WELLINGTON,,833,12,Adult AET,,Public,98,3900,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
99,3901,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,99,3901,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
100,3902,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,100,3902,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
101,3903,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,101,3903,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
102,3904,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,102,3904,1341,222,,GETCA,ABET L4,GETCA,ABET L4,,,1341,12,2,Adult AET,Tim
103,3905,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,103,3905,1363,224,,GETCA,FET Gr10,GETCA,Grade 10,,,1363,12,2,Adult AET,Tim
104,3906,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,104,3906,1374,225,,GETCA,FET Gr11,GETCA,Grade 11,,,1374,12,2,Adult AET,Tim
105,3907,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,105,3907,1385,226,,GETCA,FET GR12,GETCA,Grade 12,,,1385,12,2,Adult AET,Tim
106,3908,,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,106,3908,1418,229,,GETCA,Other,GETCA,Other,,,1418,12,2,Adult AET,Tim
110,3912,GETCA blank,835,700,GROENHEUWEL ALC,,,"DALWEIDE PRIMARY, SYMPHONY AVENUE,GROENHEUWEL, PAARL",021-8642418,,SYMPHONY AVENUE,GROENHEUWEL,GROENHEUWEL,,835,12,Adult AET,,Public,110,3912,1296,218,,GETCA,,GETCA,,,,1296,12,2,Adult AET,Tim
111,3697,,537,322,BONNIEVALE CLC,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,,PADDY STREET,ROBERTSON,ROBERTSON,,537,12,Adult AET,,Public,111,3697,1307,219,,GETCA,ABET L1,GETCA,ABET L1,,,1307,12,2,Adult AET,Tim
112,3698,,537,322,BONNIEVALE CLC,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,,PADDY STREET,ROBERTSON,ROBERTSON,,537,12,Adult AET,,Public,112,3698,1319,220,,GETCA,ABET L2,GETCA,ABET L2,,,1319,12,2,Adult AET,Tim
113,3699,,537,322,BONNIEVALE CLC,,,"THUSONG BUILDING, PADDY STREET, ROBERTSON",023-6262542,,PADDY STREET,ROBERTSON,ROBERTSON,,537,12,Adult AET,,Public,113,3699,1330,221,,GETCA,ABET L3,GETCA,ABET L3,,,1330,12,2,Adult AET,Tim
