ProviderMasterID1,ID,Enrolled,Wrote exams,Passed,Status,Qualifications_ID,QualCode,QualName,Credits,NQF level,Qualification Type,Descriptor,Specialisation,Field,Provider_ETQA_ID
137,3723,,,,,221,,GETCA,,ABET L3,GETCA,,,,549
138,3724,,,,,222,,GETCA,,ABET L4,GETCA,,,,549
139,3725,,,,,224,,GETCA,,FET Gr10,GETCA,,,,549
140,3726,,,,,225,,GETCA,,FET Gr11,GETCA,,,,549
141,3727,,,,,226,,GETCA,,FET GR12,GETCA,,,,549
142,3728,,,,,229,,GETCA,,Other,GETCA,,,,549
146,3732,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,549
147,3733,,,,,219,,GETCA,,ABET L1,GETCA,,,,553
148,3734,,,,,220,,GETCA,,ABET L2,GETCA,,,,553
149,3735,,,,,221,,GETCA,,ABET L3,GETCA,,,,553
150,3736,,,,,222,,GETCA,,ABET L4,GETCA,,,,553
151,3737,,,,,224,,GETCA,,FET Gr10,GETCA,,,,553
152,3738,,,,,225,,GETCA,,FET Gr11,GETCA,,,,553
153,3739,,,,,226,,GETCA,,FET GR12,GETCA,,,,553
154,3740,,,,,229,,GETCA,,Other,GETCA,,,,553
158,3744,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,553
159,3745,,,,,219,,GETCA,,ABET L1,GETCA,,,,608
160,3746,,,,,220,,GETCA,,ABET L2,GETCA,,,,608
161,3747,,,,,221,,GETCA,,ABET L3,GETCA,,,,608
162,3748,,,,,222,,GETCA,,ABET L4,GETCA,,,,608
163,3749,,,,,224,,GETCA,,FET Gr10,GETCA,,,,608
164,3750,,,,,225,,GETCA,,FET Gr11,GETCA,,,,608
165,3751,,,,,226,,GETCA,,FET GR12,GETCA,,,,608
166,3752,,,,,229,,GETCA,,Other,GETCA,,,,608
170,3756,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,608
171,3757,,,,,219,,GETCA,,ABET L1,GETCA,,,,668
172,3758,,,,,220,,GETCA,,ABET L2,GETCA,,,,668
173,3759,,,,,221,,GETCA,,ABET L3,GETCA,,,,668
174,3760,,,,,222,,GETCA,,ABET L4,GETCA,,,,668
175,3761,,,,,224,,GETCA,,FET Gr10,GETCA,,,,668
176,3762,,,,,225,,GETCA,,FET Gr11,GETCA,,,,668
177,3763,,,,,226,,GETCA,,FET GR12,GETCA,,,,668
178,3764,,,,,229,,GETCA,,Other,GETCA,,,,668
182,3768,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,668
183,3769,,,,,219,,GETCA,,ABET L1,GETCA,,,,690
184,3770,,,,,220,,GETCA,,ABET L2,GETCA,,,,690
185,3771,,,,,221,,GETCA,,ABET L3,GETCA,,,,690
186,3772,,,,,222,,GETCA,,ABET L4,GETCA,,,,690
187,3773,,,,,224,,GETCA,,FET Gr10,GETCA,,,,690
188,3774,,,,,225,,GETCA,,FET Gr11,GETCA,,,,690
189,3775,,,,,226,,GETCA,,FET GR12,GETCA,,,,690
190,3776,,,,,229,,GETCA,,Other,GETCA,,,,690
194,3780,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,690
195,3781,,,,,219,,GETCA,,ABET L1,GETCA,,,,691
196,3782,,,,,220,,GETCA,,ABET L2,GETCA,,,,691
197,3783,,,,,221,,GETCA,,ABET L3,GETCA,,,,691
198,3784,,,,,222,,GETCA,,ABET L4,GETCA,,,,691
199,3785,,,,,224,,GETCA,,FET Gr10,GETCA,,,,691
200,3786,,,,,225,,GETCA,,FET Gr11,GETCA,,,,691
201,3787,,,,,226,,GETCA,,FET GR12,GETCA,,,,691
202,3788,,,,,229,,GETCA,,Other,GETCA,,,,691
206,3792,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,691
207,3793,,,,,219,,GETCA,,ABET L1,GETCA,,,,716
208,3794,,,,,220,,GETCA,,ABET L2,GETCA,,,,716
209,3795,,,,,221,,GETCA,,ABET L3,GETCA,,,,716
210,3796,,,,,222,,GETCA,,ABET L4,GETCA,,,,716
211,3797,,,,,224,,GETCA,,FET Gr10,GETCA,,,,716
212,3798,,,,,225,,GETCA,,FET Gr11,GETCA,,,,716
213,3799,,,,,226,,GETCA,,FET GR12,GETCA,,,,716
214,3800,,,,,229,,GETCA,,Other,GETCA,,,,716
217,3913,,,,,219,,GETCA,,ABET L1,GETCA,,,,845
218,3914,,,,,220,,GETCA,,ABET L2,GETCA,,,,845
219,3915,,,,,221,,GETCA,,ABET L3,GETCA,,,,845
220,3916,,,,,222,,GETCA,,ABET L4,GETCA,,,,845
221,3917,,,,,224,,GETCA,,FET Gr10,GETCA,,,,845
222,3918,,,,,225,,GETCA,,FET Gr11,GETCA,,,,845
223,3919,,,,,226,,GETCA,,FET GR12,GETCA,,,,845
224,3920,,,,,229,,GETCA,,Other,GETCA,,,,845
228,3924,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,845
229,3925,,,,,219,,GETCA,,ABET L1,GETCA,,,,852
230,3926,,,,,220,,GETCA,,ABET L2,GETCA,,,,852
231,3927,,,,,221,,GETCA,,ABET L3,GETCA,,,,852
232,3928,,,,,222,,GETCA,,ABET L4,GETCA,,,,852
233,3929,,,,,224,,GETCA,,FET Gr10,GETCA,,,,852
234,3930,,,,,225,,GETCA,,FET Gr11,GETCA,,,,852
235,3931,,,,,226,,GETCA,,FET GR12,GETCA,,,,852
236,3932,,,,,229,,GETCA,,Other,GETCA,,,,852
240,3936,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,852
241,3937,,,,,219,,GETCA,,ABET L1,GETCA,,,,889
242,3938,,,,,220,,GETCA,,ABET L2,GETCA,,,,889
243,3939,,,,,221,,GETCA,,ABET L3,GETCA,,,,889
244,3940,,,,,222,,GETCA,,ABET L4,GETCA,,,,889
245,3941,,,,,224,,GETCA,,FET Gr10,GETCA,,,,889
246,3942,,,,,225,,GETCA,,FET Gr11,GETCA,,,,889
247,3943,,,,,226,,GETCA,,FET GR12,GETCA,,,,889
248,3944,,,,,229,,GETCA,,Other,GETCA,,,,889
252,3948,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,889
253,3949,,,,,219,,GETCA,,ABET L1,GETCA,,,,936
254,3950,,,,,220,,GETCA,,ABET L2,GETCA,,,,936
255,3951,,,,,221,,GETCA,,ABET L3,GETCA,,,,936
256,3952,,,,,222,,GETCA,,ABET L4,GETCA,,,,936
257,3953,,,,,224,,GETCA,,FET Gr10,GETCA,,,,936
258,3954,,,,,225,,GETCA,,FET Gr11,GETCA,,,,936
259,3955,,,,,226,,GETCA,,FET GR12,GETCA,,,,936
260,3956,,,,,229,,GETCA,,Other,GETCA,,,,936
264,3960,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,936
265,3961,,,,,219,,GETCA,,ABET L1,GETCA,,,,951
266,3962,,,,,220,,GETCA,,ABET L2,GETCA,,,,951
267,3963,,,,,221,,GETCA,,ABET L3,GETCA,,,,951
268,3964,,,,,222,,GETCA,,ABET L4,GETCA,,,,951
269,3965,,,,,224,,GETCA,,FET Gr10,GETCA,,,,951
270,3966,,,,,225,,GETCA,,FET Gr11,GETCA,,,,951
271,3967,,,,,226,,GETCA,,FET GR12,GETCA,,,,951
272,3968,,,,,229,,GETCA,,Other,GETCA,,,,951
276,3972,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,951
277,3973,,,,,219,,GETCA,,ABET L1,GETCA,,,,962
278,3974,,,,,220,,GETCA,,ABET L2,GETCA,,,,962
279,3975,,,,,221,,GETCA,,ABET L3,GETCA,,,,962
280,3976,,,,,222,,GETCA,,ABET L4,GETCA,,,,962
281,3977,,,,,224,,GETCA,,FET Gr10,GETCA,,,,962
282,3978,,,,,225,,GETCA,,FET Gr11,GETCA,,,,962
283,3979,,,,,226,,GETCA,,FET GR12,GETCA,,,,962
284,3980,,,,,229,,GETCA,,Other,GETCA,,,,962
288,3984,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,962
289,3985,,,,,219,,GETCA,,ABET L1,GETCA,,,,965
290,3986,,,,,220,,GETCA,,ABET L2,GETCA,,,,965
291,3987,,,,,221,,GETCA,,ABET L3,GETCA,,,,965
292,3988,,,,,222,,GETCA,,ABET L4,GETCA,,,,965
293,3989,,,,,224,,GETCA,,FET Gr10,GETCA,,,,965
294,3990,,,,,225,,GETCA,,FET Gr11,GETCA,,,,965
295,3991,,,,,226,,GETCA,,FET GR12,GETCA,,,,965
296,3992,,,,,229,,GETCA,,Other,GETCA,,,,965
300,3996,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,965
301,3997,,,,,219,,GETCA,,ABET L1,GETCA,,,,993
302,3998,,,,,220,,GETCA,,ABET L2,GETCA,,,,993
303,3999,,,,,221,,GETCA,,ABET L3,GETCA,,,,993
304,4000,,,,,222,,GETCA,,ABET L4,GETCA,,,,993
305,4001,,,,,224,,GETCA,,FET Gr10,GETCA,,,,993
306,4002,,,,,225,,GETCA,,FET Gr11,GETCA,,,,993
307,4003,,,,,226,,GETCA,,FET GR12,GETCA,,,,993
308,4004,,,,,229,,GETCA,,Other,GETCA,,,,993
312,4008,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,993
313,4009,,,,,219,,GETCA,,ABET L1,GETCA,,,,1000
314,4010,,,,,220,,GETCA,,ABET L2,GETCA,,,,1000
315,4011,,,,,221,,GETCA,,ABET L3,GETCA,,,,1000
316,4012,,,,,222,,GETCA,,ABET L4,GETCA,,,,1000
317,4013,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1000
318,4014,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1000
319,4015,,,,,226,,GETCA,,FET GR12,GETCA,,,,1000
320,4016,,,,,229,,GETCA,,Other,GETCA,,,,1000
324,4020,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1000
325,4021,,,,,219,,GETCA,,ABET L1,GETCA,,,,1003
326,4022,,,,,220,,GETCA,,ABET L2,GETCA,,,,1003
327,4023,,,,,221,,GETCA,,ABET L3,GETCA,,,,1003
328,4024,,,,,222,,GETCA,,ABET L4,GETCA,,,,1003
329,4025,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1003
330,4026,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1003
331,4027,,,,,226,,GETCA,,FET GR12,GETCA,,,,1003
332,4028,,,,,229,,GETCA,,Other,GETCA,,,,1003
336,4032,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1003
337,4033,,,,,219,,GETCA,,ABET L1,GETCA,,,,1019
338,4034,,,,,220,,GETCA,,ABET L2,GETCA,,,,1019
339,4035,,,,,221,,GETCA,,ABET L3,GETCA,,,,1019
340,4036,,,,,222,,GETCA,,ABET L4,GETCA,,,,1019
341,4037,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1019
342,4038,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1019
343,4039,,,,,226,,GETCA,,FET GR12,GETCA,,,,1019
344,4040,,,,,229,,GETCA,,Other,GETCA,,,,1019
348,4044,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1019
349,4045,,,,,219,,GETCA,,ABET L1,GETCA,,,,1021
350,4046,,,,,220,,GETCA,,ABET L2,GETCA,,,,1021
351,4047,,,,,221,,GETCA,,ABET L3,GETCA,,,,1021
352,4048,,,,,222,,GETCA,,ABET L4,GETCA,,,,1021
353,4049,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1021
354,4050,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1021
355,4051,,,,,226,,GETCA,,FET GR12,GETCA,,,,1021
356,4052,,,,,229,,GETCA,,Other,GETCA,,,,1021
360,4056,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1021
361,4057,,,,,219,,GETCA,,ABET L1,GETCA,,,,1023
362,4058,,,,,220,,GETCA,,ABET L2,GETCA,,,,1023
363,4059,,,,,221,,GETCA,,ABET L3,GETCA,,,,1023
364,4060,,,,,222,,GETCA,,ABET L4,GETCA,,,,1023
365,4061,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1023
366,4062,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1023
367,4063,,,,,226,,GETCA,,FET GR12,GETCA,,,,1023
368,4064,,,,,229,,GETCA,,Other,GETCA,,,,1023
372,4068,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1023
373,4069,,,,,219,,GETCA,,ABET L1,GETCA,,,,1027
374,4070,,,,,220,,GETCA,,ABET L2,GETCA,,,,1027
375,4071,,,,,221,,GETCA,,ABET L3,GETCA,,,,1027
376,4072,,,,,222,,GETCA,,ABET L4,GETCA,,,,1027
377,4073,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1027
378,4074,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1027
379,4075,,,,,226,,GETCA,,FET GR12,GETCA,,,,1027
380,4076,,,,,229,,GETCA,,Other,GETCA,,,,1027
384,4080,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1027
385,4081,,,,,219,,GETCA,,ABET L1,GETCA,,,,1085
386,4082,,,,,220,,GETCA,,ABET L2,GETCA,,,,1085
387,4083,,,,,221,,GETCA,,ABET L3,GETCA,,,,1085
388,4084,,,,,222,,GETCA,,ABET L4,GETCA,,,,1085
389,4085,,,,,224,,GETCA,,FET Gr10,GETCA,,,,1085
390,4086,,,,,225,,GETCA,,FET Gr11,GETCA,,,,1085
391,4087,,,,,226,,GETCA,,FET GR12,GETCA,,,,1085
392,4088,,,,,229,,GETCA,,Other,GETCA,,,,1085
396,4092,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,1085
397,4093,,,,,219,,GETCA,,ABET L1,GETCA,,,,35
398,4094,,,,,220,,GETCA,,ABET L2,GETCA,,,,35
399,4095,,,,,221,,GETCA,,ABET L3,GETCA,,,,35
400,4096,,,,,222,,GETCA,,ABET L4,GETCA,,,,35
401,4097,,,,,224,,GETCA,,FET Gr10,GETCA,,,,35
402,4098,,,,,225,,GETCA,,FET Gr11,GETCA,,,,35
403,4099,,,,,226,,GETCA,,FET GR12,GETCA,,,,35
404,4100,,,,,229,,GETCA,,Other,GETCA,,,,35
408,4104,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,35
409,4105,,,,,219,,GETCA,,ABET L1,GETCA,,,,53
410,4106,,,,,220,,GETCA,,ABET L2,GETCA,,,,53
411,4107,,,,,221,,GETCA,,ABET L3,GETCA,,,,53
412,4108,,,,,222,,GETCA,,ABET L4,GETCA,,,,53
413,4109,,,,,224,,GETCA,,FET Gr10,GETCA,,,,53
414,4110,,,,,225,,GETCA,,FET Gr11,GETCA,,,,53
415,4111,,,,,226,,GETCA,,FET GR12,GETCA,,,,53
416,4112,,,,,229,,GETCA,,Other,GETCA,,,,53
420,4116,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,53
421,4117,,,,,219,,GETCA,,ABET L1,GETCA,,,,63
422,4118,,,,,220,,GETCA,,ABET L2,GETCA,,,,63
423,4119,,,,,221,,GETCA,,ABET L3,GETCA,,,,63
424,4120,,,,,222,,GETCA,,ABET L4,GETCA,,,,63
425,4121,,,,,224,,GETCA,,FET Gr10,GETCA,,,,63
426,4122,,,,,225,,GETCA,,FET Gr11,GETCA,,,,63
427,4123,,,,,226,,GETCA,,FET GR12,GETCA,,,,63
428,4124,,,,,229,,GETCA,,Other,GETCA,,,,63
432,4128,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,63
433,4129,,,,,219,,GETCA,,ABET L1,GETCA,,,,107
434,4130,,,,,220,,GETCA,,ABET L2,GETCA,,,,107
435,4131,,,,,221,,GETCA,,ABET L3,GETCA,,,,107
436,4132,,,,,222,,GETCA,,ABET L4,GETCA,,,,107
437,4133,,,,,224,,GETCA,,FET Gr10,GETCA,,,,107
438,4134,,,,,225,,GETCA,,FET Gr11,GETCA,,,,107
439,4135,,,,,226,,GETCA,,FET GR12,GETCA,,,,107
440,4136,,,,,229,,GETCA,,Other,GETCA,,,,107
444,4140,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,107
445,4141,,,,,219,,GETCA,,ABET L1,GETCA,,,,124
446,4142,,,,,220,,GETCA,,ABET L2,GETCA,,,,124
447,4143,,,,,221,,GETCA,,ABET L3,GETCA,,,,124
448,4144,,,,,222,,GETCA,,ABET L4,GETCA,,,,124
449,4145,,,,,224,,GETCA,,FET Gr10,GETCA,,,,124
450,4146,,,,,225,,GETCA,,FET Gr11,GETCA,,,,124
451,4147,,,,,226,,GETCA,,FET GR12,GETCA,,,,124
452,4148,,,,,229,,GETCA,,Other,GETCA,,,,124
456,4152,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,124
457,4153,,,,,219,,GETCA,,ABET L1,GETCA,,,,138
458,4154,,,,,220,,GETCA,,ABET L2,GETCA,,,,138
459,4155,,,,,221,,GETCA,,ABET L3,GETCA,,,,138
460,4156,,,,,222,,GETCA,,ABET L4,GETCA,,,,138
461,4157,,,,,224,,GETCA,,FET Gr10,GETCA,,,,138
462,4158,,,,,225,,GETCA,,FET Gr11,GETCA,,,,138
463,4159,,,,,226,,GETCA,,FET GR12,GETCA,,,,138
464,4160,,,,,229,,GETCA,,Other,GETCA,,,,138
468,4164,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,138
469,4165,,,,,219,,GETCA,,ABET L1,GETCA,,,,165
470,4166,,,,,220,,GETCA,,ABET L2,GETCA,,,,165
471,4167,,,,,221,,GETCA,,ABET L3,GETCA,,,,165
472,4168,,,,,222,,GETCA,,ABET L4,GETCA,,,,165
473,4169,,,,,224,,GETCA,,FET Gr10,GETCA,,,,165
474,4170,,,,,225,,GETCA,,FET Gr11,GETCA,,,,165
475,4171,,,,,226,,GETCA,,FET GR12,GETCA,,,,165
476,4172,,,,,229,,GETCA,,Other,GETCA,,,,165
480,4176,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,165
481,4177,,,,,219,,GETCA,,ABET L1,GETCA,,,,169
482,4178,,,,,220,,GETCA,,ABET L2,GETCA,,,,169
483,4179,,,,,221,,GETCA,,ABET L3,GETCA,,,,169
484,4180,,,,,222,,GETCA,,ABET L4,GETCA,,,,169
485,4181,,,,,224,,GETCA,,FET Gr10,GETCA,,,,169
486,4182,,,,,225,,GETCA,,FET Gr11,GETCA,,,,169
487,4183,,,,,226,,GETCA,,FET GR12,GETCA,,,,169
488,4184,,,,,229,,GETCA,,Other,GETCA,,,,169
492,4188,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,169
493,4189,,,,,219,,GETCA,,ABET L1,GETCA,,,,170
494,4190,,,,,220,,GETCA,,ABET L2,GETCA,,,,170
495,4191,,,,,221,,GETCA,,ABET L3,GETCA,,,,170
496,4192,,,,,222,,GETCA,,ABET L4,GETCA,,,,170
497,4193,,,,,224,,GETCA,,FET Gr10,GETCA,,,,170
498,4194,,,,,225,,GETCA,,FET Gr11,GETCA,,,,170
499,4195,,,,,226,,GETCA,,FET GR12,GETCA,,,,170
500,4196,,,,,229,,GETCA,,Other,GETCA,,,,170
504,4200,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,170
505,4201,,,,,219,,GETCA,,ABET L1,GETCA,,,,173
506,4202,,,,,220,,GETCA,,ABET L2,GETCA,,,,173
507,4203,,,,,221,,GETCA,,ABET L3,GETCA,,,,173
508,4204,,,,,222,,GETCA,,ABET L4,GETCA,,,,173
509,4205,,,,,224,,GETCA,,FET Gr10,GETCA,,,,173
510,4206,,,,,225,,GETCA,,FET Gr11,GETCA,,,,173
511,4207,,,,,226,,GETCA,,FET GR12,GETCA,,,,173
512,4208,,,,,229,,GETCA,,Other,GETCA,,,,173
516,4212,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,173
517,4213,,,,,219,,GETCA,,ABET L1,GETCA,,,,195
518,4214,,,,,220,,GETCA,,ABET L2,GETCA,,,,195
519,4215,,,,,221,,GETCA,,ABET L3,GETCA,,,,195
520,4216,,,,,222,,GETCA,,ABET L4,GETCA,,,,195
521,4217,,,,,224,,GETCA,,FET Gr10,GETCA,,,,195
522,4218,,,,,225,,GETCA,,FET Gr11,GETCA,,,,195
523,4219,,,,,226,,GETCA,,FET GR12,GETCA,,,,195
524,4220,,,,,229,,GETCA,,Other,GETCA,,,,195
528,4224,,,,GETCA blank,218,,GETCA,,,Clarify (GETCA),,,,195
529,4225,,,,,219,,GETCA,,ABET L1,GETCA,,,,200
