Qualifications_ID,QualCode,QualName,Credits,NQF level,Qualification Type,Descriptor,Specialisation,Sub_Specialisation,Field,ID,ETQAs_ID
1043,115380,U/S: Demonstrate an understanding of the various types of e-commerce applications,8,NQF 5,Unit standard,,,,,56,9
1044,115381,U/S: Apply the principles of creating a computer program using an OOP language in a GUI environment ,12,NQF 6,Unit standard,,,,,57,9
1045,115382,U/S: Apply the principles of creating computer programs containing advanced algorithms using a procedural programming language ,12,NQF 6,Unit standard,,,,,58,9
1046,115383,U/S: Demonstrate an understanding of the principles of designing and building an e-Commerce web site ,10,NQF 5,Unit standard,,,,,59,9
1047,115384,U/S: Test a computer program against a given specification ,6,NQF 5,Unit standard,,,,,60,9
1048,115385,U/S: Demonstrate an understanding of the principles of implementing and managing an e-Commerce web site,12,NQF 5,Unit standard,,,,,61,9
105,,Cisco IT Specialist,,,Cisco,IT Specialist,,,IT,62,16
1050,115386,U/S: Apply the principles of creating batch and interactive computer programs using a procedural programming language ,10,NQF 5,Unit standard,,,,,63,9
1050,115386,U/S: Apply the principles of creating batch and interactive computer programs using a procedural programming language ,10,NQF 5,Unit standard,,,,,64,21
1051,115387,U/S: Apply the principles of creating a computer program using a procedural programming language in a GUI environment,14,NQF 5,Unit standard,,,,,65,21
1052,115387,U/S: Apply the principles of creating a computer program using a procedural programming language in a GUI environment ,14,NQF 6,Unit standard,,,,,66,9
1053,115388,U/S: Produce documentation for a computer program to agreed standards,3,NQF 5,Unit standard,,,,,67,21
1054,115388,U/S: Produce documentation for a computer program to agreed standards ,3,NQF 5,Unit standard,,,,,68,9
1055,115389,U/S: Design a computer application for a single-user personal computer for programming with a 4GL ,12,NQF 6,Unit standard,,,,,69,9
1056,115390,U/S: Create an application for a single-user personal computer using a fourth generation language ,10,NQF 5,Unit standard,,,,,70,9
1057,115391,U/S: Demonstrate an understanding of the principles of the internet and the world-wide-web,3,NQF 3,Unit standard,,,,,71,9
1058,115391,U/S: Demonstrate an understanding of the principles of the internet and the world-wide-web,3,NQF 4,Unit standard,,,,,72,9
1059,115391,U/S:Demonstrate an understanding of the principles of the internet and the world-wide-web,3,NQF 4,Unit standard,,,,,73,9
1061,115392,U/S: Apply principles of creating computer software by developing a complete program to meet given business specifications ,12,NQF 5,Unit standard,,,,,74,9
1061,115392,U/S: Apply principles of creating computer software by developing a complete program to meet given business specifications ,12,NQF 5,Unit standard,,,,,75,21
1062,115431,U/S: Analyse feedback contexts and apply constructive feedback techniques ,3,NQF 5,Unit standard,,,,,76,9
1063,115434,U/S: Manage organizational systems and physical and financial resources,,NQF 6,Unit standard,,,,,77,25
1064,115439,"U/S: Manage policy, planning, school development and governance",,NQF 6,Unit standard,,,,,78,25
1065,115441,U/S: Understand school management and leadership in the South African context,,NQF 5,Unit standard,,,,,79,25
1066,115499,"U/S: Gather, record and interpret business related information",4,NQF 4,Unit standard,,,,,80,9
1067,115591,"U/S: Explain and apply environmental legal principles, rights, duties and responsibilities to a specific work context",6,NQF 4,Unit standard,,,,,81,9
1068,115753,U/S:  Conduct outcomes-based assessment,,NQF 5,Unit standard,,,,,82,25
1069,115753,U/S: Conduct outcomes-based assessment,,NQF 5,Unit standard,,,,,83,25
107,,Construction Engineering Studies (Plumbing) (N1 - N3),,N1-N3,Nated,Engineering Studies,"Construction, Plumbing",,Engineering,84,16
1070,115755,U/S: Design and develop outcomes-based assessments,,NQF 6,Unit standard,,,,,85,25
1071,115759,U/S: Conduct moderation of outcomes-based assessments,,NQF 6,Unit standard,,,,,86,25
1072,115789,U/S: Sustain oral interaction across a wide range of contexts and critically evaluate spoken texts,,NQF 5,Unit standard,,,,,87,25
1073,115789,U/S: Sustain oral interaction across a wide range of contexts and critically evaluate spoken texts,5,NQF 5,Unit standard,,,,,88,9
1074,115790,"U/S: Write and present for a wide range of purposes, audiences and contexts",,NQF 5,Unit standard,,,,,89,25
1075,115790,"U/S: Write and present for a wide range of purposes, audiences and contexts",5,NQF 5,Unit standard,,,,,90,9
1076,115791,U/S: Use language and communication strategies for vocational and occupational learning,5,NQF 5,Unit standard,,,,,91,9
1077,115792,"U/S: Access, process, adapt and use data from a wide range of texts",5,NQF 5,Unit standard,,,,,92,9
1078,115803,"U/S: Explain complex processes to Deaf individuals and groups of Deaf people, using South African Sign Language",,NQF 5,Unit standard,,,,,93,25
1079,115813,U/S: Hold conversations with Deaf individuals and groups of Deaf people on an unfamiliar topic using South African Sign Language,,NQF 5,Unit standard,,,,,94,25
108,,Culture site Guide,,,TBD,Culture site Guide,,,,95,22
1080,115814,U/S: Paraphrase and summarise signed monologues on familiar topics using South African Sign Language,,NQF 5,Unit standard,,,,,96,25
1081,115821,U/S: Apply business financial practices,4,NQF 5,Unit standard,,,,,97,21
1082,115823,U/S: Gather and manage information for decision-making,5,NQF 5,Unit standard,,,,,98,9
1083,116053,U/S: Understand basic soil fertility and plant nutrition,5,NQF 2,Unit standard,,,,,99,20
1084,116055,U/S: Understand animal nutrition,7,NQF 2,Unit standard,,,,,100,20
1085,116057,U/S: Understand the structure and functions of a plant,5,NQF 2,Unit standard,,,,,101,20
1086,116060,"U/S: Utilise and perform minor repair and maintenance tasks on implements, equipment and infrastructure",5,NQF 2,Unit standard,,,,,102,20
1087,116062,U/S: Prepare a shearing shed for shearing,3,NQF 2,Unit standard,,,,,103,20
1088,116063,U/S: Respond correctly to control defensive behaviour in animals,4,NQF 2,Unit standard,,,,,104,20
1089,116064,U/S: Recognise and identify the basic functions of the ecological environment,4,NQF 2,Unit standard,,,,,105,20
109,,Diploma in 3-D Design and Digital Animation,,,Diploma,3-D Design and Digital Animation,,,,106,13
1090,116065,U/S: Store and control agrochemical products effectively and responsibly,4,NQF 2,Unit standard,,,,,107,20
1091,116066,U/S: Operate and maintain specific irrigation systems,3,NQF 2,Unit standard,,,,,108,20
1092,116069,U/S: Participate in agri/ecotourism practices at both micro and meso levels to tourists,4,NQF 2,Unit standard,,,,,109,20
1093,116070,U/S: Operate and support a food safety and quality management system in the agricultural supply chain,2,NQF 2,Unit standard,,,,,110,20
1094,116072,U/S: Perform routine operations and identify basic problems in hydroponic systems,3,NQF 2,Unit standard,,,,,111,20
1095,116074,U/S: Observe and inspect animal health,5,NQF 2,Unit standard,,,,,112,20
1096,116076,U/S: Introduce organic certification and internal control systems,2,NQF 2,Unit standard,,,,,113,20
1097,116077,U/S: Monitor water quality,3,NQF 2,Unit standard,,,,,114,20
1098,116079,U/S: Monitor the establishment of a crop,4,NQF 2,Unit standard,,,,,115,20
1099,116080,"U/S: Monitor, collect and collate agricultural data",2,NQF 2,Unit standard,,,,,116,20
11,,ABET TRAINING,,,TBD,ABET TRAINING,,,,117,3
110,,Diploma in Accounting and Financial,,,Diploma,Accounting and Financial,,,,118,13
1100,116081,U/S: Identify and recognise factors influencing agricultural enterprise selection,2,NQF 2,Unit standard,,,,,119,20
1101,116083,U/S: Illustrate and understand the basic layout of financial statements,2,NQF 2,Unit standard,,,,,120,20
1102,116107,U/S: Identify basic breeding practices for farm animals,5,NQF 2,Unit standard,,,,,121,20
1103,116109,U/S: Interpret and illustrate permaculture principles,2,NQF 2,Unit standard,,,,,122,20
1104,116109,U/S: Interpret and illustrate permaculture principles,5,NQF 2,Unit standard,,,,,123,20
1105,116110,U/S: Explain dairy production cleanliness,5,NQF 2,Unit standard,,,,,124,20
1106,116111,U/S: Harvest agricultural crops: Procedures,4,NQF 2,Unit standard,,,,,125,20
1107,116113,U/S: Explain principles of human resources management and practices in agriculture,2,NQF 2,Unit standard,,,,,126,20
1108,116114,U/S: Harvest natural flora,4,NQF 2,Unit standard,,,,,127,20
1109,116115,U/S: Define and understand production systems and production management,2,NQF 2,Unit standard,,,,,128,20
111,,Diploma in Advertising Management,,,Diploma,Advertising Management,,,,129,13
1110,116117,U/S: Evaluate external animal anatomy and morphology,5,NQF 2,Unit standard,,,,,130,20
1111,116119,U/S: Demonstrate an understanding of plant propagation,3,NQF 2,Unit standard,,,,,131,20
1112,116120,U/S: Explain basic pig husbandry practices,4,NQF 2,Unit standard,,,,,132,20
1113,116121,U/S: Apply sustainable farming practices to conserve the ecological environment,5,NQF 2,Unit standard,,,,,133,20
1114,116122,U/S: Control inputs and stock in agribusiness,2,NQF 2,Unit standard,,,,,134,20
1115,116123,U/S: Consider plant botany during the placement of bee hives,2,NQF 2,Unit standard,,,,,135,20
1116,116124,"U/S: Control pests, diseases and weeds on all crops effectively and responsibly",2,NQF 2,Unit standard,,,,,136,20
1117,116125,U/S: Apply crop protection and animal health products effectively and responsibly,4,NQF 2,Unit standard,,,,,137,20
1118,116126,U/S: Apply marketing principles in agriculture,2,NQF 2,Unit standard,,,,,138,20
1119,116127,U/S: Apply layout principles for conservation and infrastructure,5,NQF 2,Unit standard,,,,,139,20
112,,Diploma in Animation,,,Diploma,Animation,,,,140,13
1120,116128,U/S: Apply plant manipulation methods,4,NQF 2,Unit standard,,,,,141,20
1121,116144,U/S: Apply animal products harvesting procedures,5,NQF 2,Unit standard,,,,,142,20
1122,116148,U/S: Perform basic routine operations in a defined hydroponic context,5,NQF 1,Unit standard,,,,,143,20
1123,116149,U/S: Understand organic market requirements,3,NQF 1,Unit standard,,,,,144,20
1124,116150,U/S: Identify and explain permaculture principles,8,NQF 1,Unit standard,,,,,145,20
1125,116153,U/S: Apply basic pig husbandry practices,5,NQF 1,Unit standard,,,,,146,20
1126,116156,U/S: Collect agricultural data,2,NQF 1,Unit standard,,,,,147,20
1127,116157,U/S: Demonstrate an understanding of the basic concepts of sustainable farming systems,4,NQF 1,Unit standard,,,,,148,20
1128,116158,U/S: Apply basic agricultural enterprise selection principles,2,NQF 1,Unit standard,,,,,149,20
1129,116159,U/S: Identify the need for capital and understand the need for the recording of the income and different costs in an agri-business,2,NQF 1,Unit standard,,,,,150,20
113,,Diploma in Banking,,,Diploma,Banking,,,,151,13
1130,116160,U/S: Apply basic human resource management principles and practices applicable in an agricultural environment,2,NQF 1,Unit standard,,,,,152,20
1131,116161,U/S: Sort and handle animal fibre,5,NQF 1,Unit standard,,,,,153,20
1132,116163,U/S: Handle inputs and stock in agri-business,2,NQF 1,Unit standard,,,,,154,20
1133,116164,U/S: Demonstrate an understanding of the importance of marketing,2,NQF 1,Unit standard,,,,,155,20
1134,116165,U/S: Define production and understand the basic activities of production / conversion in the agri-business environment,2,NQF 1,Unit standard,,,,,156,20
1135,116166,U/S: Apply basic food safety practices,1,NQF 1,Unit standard,,,,,157,20
1136,116167,"U/S: Select, use and care for hand tools and basic equipment and infrastructure",4,NQF 1,Unit standard,,,,,158,20
1137,116168,U/S: Maintain basic water quality,1,NQF 1,Unit standard,,,,,159,20
1138,116169,U/S: Understand how sustainable farming systems conserve natural resources,4,NQF 1,Unit standard,,,,,160,20
1139,116172,U/S: Apply elementary farm layout and infrastructure,2,NQF 1,Unit standard,,,,,161,20
1140,116173,U/S: Evaluate basic external animal anatomy and morphology,5,NQF 1,Unit standard,,,,,162,20
1141,116174,U/S: Recognise basic breeding behaviour of farm animals,6,NQF 1,Unit standard,,,,,163,20
1142,116190,U/S: Recognise defensive behavior in animals,4,NQF 1,Unit standard,,,,,164,20
1144,116191,U/S: Apply standard animal feeding procedures,6,NQF 1,Unit standard,,,,,165,20
1145,116197,U/S: Observe and handle animals,5,NQF 1,Unit standard,,,,,166,20
1146,116198,U/S: Harvest animal products,5,NQF 1,Unit standard,,,,,167,20
1147,116199,U/S: Demonstrate a basic understanding of the structure and function of a plant in relation to its environment,4,NQF 1,Unit standard,,,,,168,20
1148,116200,U/S: Plant the crop under supervision,4,NQF 1,Unit standard,,,,,169,20
1149,116201,U/S: Harvest agricultural crops,5,NQF 1,Unit standard,,,,,170,20
1150,116202,U/S: Operate and maintain irrigation systems,2,NQF 1,Unit standard,,,,,171,20
1151,116203,U/S: Manipulate plants,5,NQF 1,Unit standard,,,,,172,20
1152,116204,"U/S: Recognise pests, diseases and weeds on crops",5,NQF 1,Unit standard,,,,,173,20
1153,116205,U/S: Propagate plants,4,NQF 1,Unit standard,,,,,174,20
1154,116206,U/S: Fertilise soil and attend to basic plant nutrition,5,NQF 1,Unit standard,,,,,175,20
1155,116207,U/S: Apply basic dairy production practices,6,NQF 1,Unit standard,,,,,176,20
1156,116208,U/S: Understand the basic practices of beekeeping and the benefit thereof for agriculture,1,NQF 1,Unit standard,,,,,177,20
1157,116209,U/S: Demonstrate an understanding of agri/ecotourism as a system at micro level,5,NQF 1,Unit standard,,,,,178,20
1158,116211,U/S: Minimise risk in animal management,3,NQF 3,Unit standard,,,,,179,20
1159,116212,U/S: Maintain water quality parameters,2,NQF 3,Unit standard,,,,,180,20
1160,116213,U/S: Organise shearing shed activities,4,NQF 3,Unit standard,,,,,181,20
1161,116214,U/S: Interpret factors influencing agricultural enterprises and plan accordingly,3,NQF 3,Unit standard,,,,,182,20
1162,116215,U/S: Apply basic artificial insemination practices,5,NQF 3,Unit standard,,,,,183,20
1163,116216,U/S: Apply advanced breeding practices for farm animals,4,NQF 3,Unit standard,,,,,184,20
1164,116217,U/S: Explain the harvesting of animal products,5,NQF 3,Unit standard,,,,,185,20
1165,116218,U/S: Explain the planning and scheduling of tasks in a production environment,3,NQF 3,Unit standard,,,,,186,20
1166,116219,U/S: Explain the prevention and treatment of animal diseases,5,NQF 3,Unit standard,,,,,187,20
1167,116220,U/S: Explain the propagation of plants,4,NQF 3,Unit standard,,,,,188,20
1168,116221,U/S: Identify and apply permaculture principles,5,NQF 4,Unit standard,,,,,189,20
1169,116222,U/S: Incorporate basic concepts of sustainable farming systems into practical farm activities,7,NQF 3,Unit standard,,,,,190,20
1170,116225,U/S: Explain elementary animal nutrition,6,NQF 3,Unit standard,,,,,191,20
1171,116228,U/S: Explain dairy production,6,NQF 3,Unit standard,,,,,192,20
1172,116237,U/S: Explain costing and the viability of an agri-business,3,NQF 3,Unit standard,,,,,193,20
1173,116240,"U/S: Explain store inputs categories, labeling and storage methods",3,NQF 3,Unit standard,,,,,194,20
1174,116257,U/S: Explain human resource policies and procedures,3,NQF 3,Unit standard,,,,,195,20
1175,116258,U/S: Communicate agri/ecotourism principles and concepts effectively and adapt to needs,5,NQF 3,Unit standard,,,,,196,20
1176,116259,U/S: Explain application of marketing principles within an alternative and dynamic agricultural marketing environment,3,NQF 3,Unit standard,,,,,197,20
1177,116260,U/S: Explain animal anatomy and physiology,5,NQF 3,Unit standard,,,,,198,20
1178,116261,U/S: Introduction to organic certification and internal control systems,4,NQF 3,Unit standard,,,,,199,20
1179,116263,U/S: Monitor natural resource management practices,4,NQF 3,Unit standard,,,,,200,20
118,,Diploma in Business Management,,,Diploma,Business Management,,,,201,13
1180,116264,U/S: Monitor plant manipulation,3,NQF 3,Unit standard,,,,,202,20
1181,116265,"U/S: Monitor pests, diseases and weeds on crops",2,NQF 3,Unit standard,,,,,203,20
1182,116266,U/S: Monitor the operation and maintenance of irrigation systems,3,NQF 3,Unit standard,,,,,204,20
1183,116267,U/S: Manage soil fertility and plant nutrition,5,NQF 3,Unit standard,,,,,205,20
1184,116268,U/S: Monitor and co-ordinate the harvesting of agricultural products,4,NQF 3,Unit standard,,,,,206,20
1185,116269,U/S: Supervise the collection of agricultural data,5,NQF 3,Unit standard,,,,,207,20
1186,116270,U/S: Manage sites for bee keeping,2,NQF 3,Unit standard,,,,,208,20
1187,116271,U/S: Monitor and supervise a food safety and quality management system in the agricultural supply chain,3,NQF 3,Unit standard,,,,,209,20
1188,116272,U/S: Demonstrate a basic understanding of the physiological functioning of the anatomical structures of the plant,4,NQF 3,Unit standard,,,,,210,20
1189,116273,U/S: Apply blade-shearing skills and prepare blade-shearing equipment,8,NQF 3,Unit standard,,,,,211,20
1190,116274,U/S: Assist in farm planning and layout for conservation and rainwater harvesting,3,NQF 3,Unit standard,,,,,212,20
1191,116275,U/S: Apply routine maintenance and servicing plans and procedures,3,NQF 3,Unit standard,,,,,213,20
1192,116276,U/S: Apply pig husbandry practices,5,NQF 3,Unit standard,,,,,214,20
1193,116277,U/S: Apply machine-shearing skills and prepare shearing equipment,8,NQF 4,Unit standard,,,,,215,20
1194,116278,U/S: Implement a food safety and quality management system in the agricultural supply chain,3,NQF 4,Unit standard,,,,,216,20
1195,116279,U/S: Implement a permaculture site design,7,NQF 4,Unit standard,,,,,217,20
1196,116281,U/S: Explain animal classification and natural history,2,NQF 4,Unit standard,,,,,218,20
1197,116282,U/S: Explain intermediate animal nutrition,4,NQF 4,Unit standard,,,,,219,20
1198,116285,U/S: Explain functional animal anatomy and physiology,3,NQF 4,Unit standard,,,,,220,20
1199,116286,U/S: Give an overview of the industry structure,2,NQF 4,Unit standard,,,,,221,20
12,,Accredited Skills/Practical Programme:Electrical,,,Skills/Practical Programme,Electrical,,,Engineering,222,16
1200,116288,U/S: Execute sustainable resource use and quality control,3,NQF 4,Unit standard,,,,,223,20
1201,116289,U/S: Ensure sustainable wild flower harvesting operations,5,NQF 4,Unit standard,,,,,224,20
1202,116290,"U/S: Establish a plan for the monitoring, safe use and maintenance of equipment implements, technology and infrastructure",3,NQF 4,Unit standard,,,,,225,20
1203,116291,U/S: Participate in the development and management of an agri business plan,3,NQF 4,Unit standard,,,,,226,20
1204,116293,"U/S: Evaluate, adjust and implement factors influencing agricultural enterprises",3,NQF 4,Unit standard,,,,,227,20
1205,116295,U/S: Demonstrate a basic understanding of the physiological processes in plant growth and development,3,NQF 4,Unit standard,,,,,228,20
1206,116297,U/S: Develop a harvesting plan for the specific agricultural crop,3,NQF 4,Unit standard,,,,,229,20
1207,116298,U/S: Develop bee sites,2,NQF 4,Unit standard,,,,,230,20
1208,116299,U/S: Apply advanced pig husbandry practices,5,NQF 4,Unit standard,,,,,231,20
1209,116300,U/S: Apply procedures to manage damage control in animals and victims,2,NQF 4,Unit standard,,,,,232,20
1210,116301,"U/S: Apply effective and responsible integrated pest, disease and weed control",3,NQF 4,Unit standard,,,,,233,20
1211,116302,U/S: Assume co-responsibility and participation in human resource management,3,NQF 4,Unit standard,,,,,234,20
1212,116303,U/S: Implement a natural resource management plan,3,NQF 4,Unit standard,,,,,235,20
1213,116304,U/S: Manage agricultural export logistics,4,NQF 4,Unit standard,,,,,236,20
1214,116305,U/S: Manage plant manipulation methods of an agricultural crop,3,NQF 4,Unit standard,,,,,237,20
1215,116306,U/S: Manage organic certification and internal control systems,5,NQF 4,Unit standard,,,,,238,20
1216,116307,U/S: Manage the quality of the harvesting of animal products,3,NQF 4,Unit standard,,,,,239,20
1217,116308,U/S: Implement animal health and bio-security programs,3,NQF 4,Unit standard,,,,,240,20
1218,116309,U/S: Implement integrated farm layout and site selection,3,NQF 4,Unit standard,,,,,241,20
1219,116310,U/S: Implement dairy production operations,6,NQF 4,Unit standard,,,,,242,20
1220,116311,U/S: Implement soil fertility and plant nutrition practices,3,NQF 4,Unit standard,,,,,243,20
1221,116312,U/S: Implement a data collection plan,4,NQF 4,Unit standard,,,,,244,20
1222,116313,U/S: Supervise artificial insemination practices,5,NQF 4,Unit standard,,,,,245,20
1223,116314,U/S: Produce crop in a hydroponic system,4,NQF 4,Unit standard,,,,,246,20
1224,116315,U/S: Recognise agri/ecotourism within the strategic environment,5,NQF 4,Unit standard,,,,,247,20
1225,116316,U/S: Propagate plants in a variety of situations,3,NQF 4,Unit standard,,,,,248,20
1226,116317,U/S: Schedule the operation and maintenance of irrigation systems,3,NQF 4,Unit standard,,,,,249,20
1227,116318,U/S: Plan and maintain breeding systems,3,NQF 4,Unit standard,,,,,250,20
1228,116319,U/S: Prepare a whole farm budget and establish a proper integrated information system for an agri-business,3,NQF 4,Unit standard,,,,,251,20
1229,116320,U/S: Plan and maintain environmentally sound agricultural processes,8,NQF 4,Unit standard,,,,,252,20
1230,116321,U/S: Procure and manage agricultural input,3,NQF 4,Unit standard,,,,,253,20
1231,116322,U/S: Manage water quality parameters,3,NQF 4,Unit standard,,,,,254,20
1232,116324,U/S: Plan a farm and select a site,9,NQF 5,Unit standard,,,,,255,20
1233,116327,U/S: The optimisation of agri / ecotourism strenghts and opportunities and negation of threats and weaknesses,6,NQF 5,Unit standard,,,,,256,20
1234,116328,U/S: The effective and responsible arial application of agrochemical products,14,NQF 5,Unit standard,,,,,257,20
1235,116336,U/S: Understand juvenile animal rearing practices,8,NQF 5,Unit standard,,,,,258,20
1236,116337,U/S: Optimise and integrate various farming systems and trends within related enterprises,11,NQF 5,Unit standard,,,,,259,20
1237,116365,U/S: Evaluate the financial practices of a business,9,NQF 6,Unit standard,,,,,260,21
1238,116369,U/S: Optimise water quality,6,NQF 5,Unit standard,,,,,261,20
1239,116370,U/S: Manage dairy production systems,10,NQF 5,Unit standard,,,,,262,20
1241,116372,U/S: Manage hive placement and bee pollination,2,NQF 5,Unit standard,,,,,263,20
1242,116373,U/S: Manage the harvesting process of agricultural crops,10,NQF 5,Unit standard,,,,,264,20
1243,116381,U/S: Investigate life threatening hazards when handling animals,8,NQF 5,Unit standard,,,,,265,20
1244,116382,U/S: Manage an input chain,6,NQF 5,Unit standard,,,,,266,20
1245,116383,U/S: Manage a hydroponic production unit,10,NQF 5,Unit standard,,,,,267,20
1246,116384,U/S: Manage and control resources in a sustainable manner,5,NQF 5,Unit standard,,,,,268,20
1247,116385,U/S: Integrate sustainable breeding and selection methods,10,NQF 5,Unit standard,,,,,269,20
1248,116387,U/S: Integrate sustainable systems into planning and management processes,8,NQF 5,Unit standard,,,,,270,20
1249,116388,U/S: Evaluate animal anatomy and physiology systems,10,NQF 5,Unit standard,,,,,271,20
125,,Diploma in Coaching Science,,,Diploma,Coaching Science,,,,272,13
1250,116389,U/S: Write a technical report ,4,NQF 4,Unit standard,,,,,273,9
1251,116390,U/S: Harvest animal products: animal products systems,9,NQF 5,Unit standard,,,,,274,20
1252,116393,U/S: Evaluate animal health systems,8,NQF 5,Unit standard,,,,,275,20
1253,116394,U/S: Implement and manage human resource and labour relations policies and acts,9,NQF 5,Unit standard,,,,,276,20
1254,116398,U/S: Evaluate and coordinate area wide sustainable wild flower harvesting,8,NQF 5,Unit standard,,,,,277,20
1255,116399,U/S: Dissect animals,5,NQF 5,Unit standard,,,,,278,20
1256,116400,"U/S: Effective and responsible advice, recommendation and sale of agrochemical products",12,NQF 6,Unit standard,,,,,279,20
1257,116402,U/S: Effective and responsible control of problem animals,8,NQF 5,Unit standard,,,,,280,20
1258,116405,"U/S: Develop, implement and manage a permaculture site design",10,NQF 5,Unit standard,,,,,281,20
1259,116409,U/S: Develop and implement plant manipulation methods,8,NQF 5,Unit standard,,,,,282,20
126,,Diploma in Commerce in Business Management,,,Diploma,Commerce,Business Management,,,283,13
1260,116412,U/S: Develop and manage a data collection plan to support an agricultural enterprise,4,NQF 5,Unit standard,,,,,284,20
1261,116414,U/S: Develop suitable irrigation systems,10,NQF 5,Unit standard,,,,,285,20
